ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	is_neuronal_term
GO:0003128	heart field specification	17	0.722457834672334	1.90696473922289	0.000239240934292754	0.00205461068155073	0.00146748941685431	4143	tags=76%, list=19%, signal=62%	12159/66993/16392/22418/17292/12156/22411/13380/14464/12006/14042/14106/17260	FALSE
GO:1904036	negative regulation of epithelial cell apoptotic process	77	0.559752733777095	1.66218552800127	0.000239240934292754	0.00205461068155073	0.00146748941685431	4104	tags=38%, list=19%, signal=31%	11921/18092/17869/15111/14462/14461/15901/18091/18609/16153/54409/14456/17242/18049/20254/22393/69807/16542/68169/20356/216439/18012/12576/21929/15235/12043/16163/12223/70584	FALSE
GO:0002070	epithelial cell maturation	27	0.721718640207686	2.00079071373358	0.000243797767997561	0.00208336274470643	0.0014880253503879	2440	tags=52%, list=11%, signal=46%	15402/15375/14461/14367/20473/12606/15408/16509/14609/13819/22339/11677/14561/16542	FALSE
GO:0071559	response to transforming growth factor beta	240	0.459978722796173	1.43440455977442	0.000243797767997561	0.00208336274470643	0.0014880253503879	5951	tags=44%, list=28%, signal=32%	13390/12579/21869/22408/12192/12193/12741/20682/353310/24064/14281/434215/24063/76905/16476/56320/14573/12156/68939/107586/21825/12705/12577/68010/18119/17131/12399/17684/15379/65112/12390/225631/24136/26401/108075/77794/22793/60406/12394/80288/26356/328365/20289/17125/12827/70673/241593/17130/14360/15258/11482/17700/246154/56213/100044509/100952/171463/15587/17826/78558/14106/58250/17127/18127/19303/20296/12389/17260/16419/27528/21803/278507/21812/216190/16948/16963/12843/12391/12163/20678/107765/16998/170676/80707/12683/21808/69260/20869/21804/21809/23939/21814/80859/11906/20481/214425/105352/19272/14118/12164/16971/56306/66513/16420/17283	FALSE
GO:0050954	sensory perception of mechanical stimulus	217	0.454722904973955	1.41303365715404	0.000243797767997561	0.00208336274470643	0.0014880253503879	5107	tags=39%, list=24%, signal=30%	20471/17869/21418/20674/18997/18998/12767/21380/723960/15394/97848/24064/22226/387142/20583/667663/20315/231602/54422/14619/12824/171209/16450/56226/18211/22388/18994/227357/70441/16485/16470/14366/16528/12297/60613/76365/73750/12810/16535/22393/260301/20512/80982/14775/97031/69698/17196/12842/19712/26557/22295/107751/14360/12581/17754/14812/110935/16206/83762/21926/19339/12576/11444/140475/20776/14623/20655/269473/230085/78286/723952/26563/140765/15212/432516/110253/17921/66540/16398/72088/26941/239250/12367/21898	FALSE
GO:0045599	negative regulation of fat cell differentiation	59	0.579878833766196	1.69325101138739	0.000248354604182293	0.0021118310914843	0.00150835864174426	5689	tags=59%, list=26%, signal=44%	14461/22408/15904/12193/22410/22418/12156/239659/13386/225791/22402/217410/16449/13555/20602/12395/17385/22339/76854/17702/81703/11865/21926/22416/17127/223435/21803/231070/21804/228775/53896/56458/22601/63873/14118	FALSE
GO:0016525	negative regulation of angiogenesis	107	0.532153922841415	1.60995270151653	0.000248354604182293	0.0021118310914843	0.00150835864174426	3996	tags=40%, list=18%, signal=33%	15402/17300/13638/16600/11504/12741/16598/13197/11555/24064/107831/20620/16878/66214/21825/15945/15242/209743/269120/18053/12922/192187/12827/230775/238328/69601/106014/13836/11602/12766/19274/21826/20358/100952/21926/20351/11601/23876/19242/26427/381290/11606/20296	FALSE
GO:0045638	negative regulation of myeloid cell differentiation	95	0.536392761177271	1.60934966914414	0.000248354604182293	0.0021118310914843	0.00150835864174426	4164	tags=37%, list=19%, signal=30%	15404/17869/15402/15405/14461/12192/27220/16658/15416/78926/83554/211770/13388/22761/18035/16909/241525/17863/19401/12394/22695/15354/70673/238377/12262/18708/21930/19229/235320/227358/17536/107173/320404/15977/107771	FALSE
GO:0015837	amine transport	132	0.495799693921947	1.51014495465153	0.000252911442712927	0.00214352812922267	0.00153099800006376	5022	tags=43%, list=23%, signal=33%	12918/20508/11998/16490/18429/27220/99296/14573/20315/15550/15551/16846/20539/11540/19224/11438/19735/54524/319508/19736/18167/76257/22044/11833/12922/12424/55925/232333/18430/269642/108068/18216/20618/14812/54140/21926/20983/19339/12801/11541/11444/208188/20617/54525/18441/18546/11606/18799/12652/12921/18168/21823/15565/80976/20980/18627/11539	FALSE
GO:0045927	positive regulation of growth	311	0.436342250062638	1.37349494012712	0.000252911442712927	0.00214352812922267	0.00153099800006376	4404	tags=31%, list=20%, signal=25%	15284/21385/320563/11998/18997/12767/11878/13614/18992/21380/14179/11555/11554/14463/22226/55948/17927/20698/12904/56320/22418/14465/12977/20315/13388/22431/16846/14239/15364/107585/14632/12954/22402/12444/17131/16002/14602/18049/217369/74318/15200/56808/12064/22393/20361/22339/109270/12891/17387/12561/76438/69807/27279/11858/16199/22415/14025/15214/241593/18128/20807/11651/20356/20319/18795/54140/11739/76574/22350/19229/20983/208188/21388/22416/19130/21676/15586/338346/23795/18208/12043/268396/14180/20670/11606/244667/16198/19219/17260/17755/13508/18712/11816/21812/319757/68034/18736	FALSE
GO:0002063	chondrocyte development	35	0.629192958711373	1.77685233880495	0.000257468283464926	0.00217857778316476	0.00155603193797047	5395	tags=63%, list=25%, signal=47%	20429/15396/15431/373864/20682/12845/17131/14172/73121/12406/19227/17702/12006/14042/20319/17180/58250/76566/19411/58994/72043/70235	FALSE
GO:0009914	hormone transport	401	0.420230396672156	1.33165926162327	0.000262025126322415	0.00221351291354066	0.00158098407832651	8336	tags=56%, list=39%, signal=35%	12918/15229/15376/14462/26927/11516/18096/13615/11551/13614/16324/27220/18609/378435/13115/22226/20666/16392/19701/18095/21386/21419/15550/21333/100039795/14761/20677/16878/20287/16846/15364/20539/14427/381677/30878/11826/21943/114229/14687/224129/13924/14602/20787/16009/16323/19205/14366/277978/56745/17202/108075/22044/384783/17863/56708/14609/12097/16535/12922/12394/18413/14063/22228/76854/16514/14652/69952/13371/16367/114679/235415/64654/238377/19712/68267/545156/18795/12143/66259/16156/11865/16322/110385/15361/14645/21926/18012/380714/19339/14419/12801/109689/208188/69847/18300/22337/15216/18126/54525/12257/223775/16193/18441/18976/11606/11747/67267/75597/19219/14186/14683/21410/12652/12919/12921/19276/18754/12953/93691/74551/276952/12288/13447/68039/381853/59090/18166/319613/58994/18627/20377/11539/21844/75770/19275/17886/16438/217166/52055/57915/56458/320790/14681/18125/18111/20609/230899/214597/280287/18133/26921/380752/63873/16500/17773/18641/11481/14118/18510/58991/16971/19662/12290/12289/16522/50934/13640/14682/545192/18693/71111/19055/64177/227737/99571/22320/16176/16443/442827/12971/101772/67389/21337/21416/14161/20394/13489/78896/14601/19015/14182/50873/26950/109552/14064/12015/106347/19016/269275/14526/215999/18575/20186/15107/21405/11514/11307/78894/12425/28146/72472/56508/14226/74370/110135/15357/54126/56455/12161/13616/54615/15378/17932/12889	FALSE
GO:0001706	endoderm formation	43	0.649357534879783	1.86972554089614	0.000266581971177441	0.0022410224243697	0.0016006325286957	1928	tags=37%, list=9%, signal=34%	20674/18121/16402/13537/319520/14463/20671/14465/17292/20680/15364/18119/13380/16869/16323/12831	FALSE
GO:0008306	associative learning	122	0.507645261712377	1.54280952160483	0.000266581971177441	0.0022410224243697	0.0016006325286957	5030	tags=44%, list=23%, signal=34%	21375/12918/18121/21983/11555/22226/13491/21333/20287/53324/13488/223864/18389/64290/104027/13492/320974/18574/12064/12227/12667/225870/13166/12424/353342/232333/76898/21960/14652/234593/98660/20807/17754/14812/22142/51791/11444/18013/19049/17536/66860/192653/19373/11606/245537/64085/12921/26889/210274/15466/12288/14918/104111/58234	FALSE
GO:0046883	regulation of hormone secretion	332	0.42837970427012	1.35098325159816	0.000266581971177441	0.0022410224243697	0.0016006325286957	8334	tags=58%, list=39%, signal=36%	12918/15376/26927/11516/18096/13615/11551/13614/16324/27220/18609/13115/22226/20666/16392/19701/18095/21419/15550/21333/14761/20677/16878/20287/16846/15364/14427/30878/21943/114229/14687/224129/13924/14602/20787/16009/16323/19205/56745/22044/384783/17863/56708/14609/12097/16535/12922/12394/18413/14063/22228/76854/16514/14652/69952/16367/64654/238377/19712/68267/545156/18795/12143/66259/16156/11865/16322/110385/14645/21926/380714/14419/12801/109689/208188/18300/22337/15216/18126/54525/12257/223775/16193/18441/18976/11606/11747/67267/75597/19219/14186/14683/12652/12919/12921/18754/12953/93691/74551/276952/12288/13447/68039/381853/59090/18166/319613/18627/20377/11539/21844/75770/17886/16438/217166/52055/57915/56458/320790/14681/18125/18111/20609/230899/214597/280287/18133/26921/380752/16500/17773/18641/14118/18510/58991/16971/19662/12290/12289/16522/13640/14682/545192/18693/71111/19055/99571/22320/16176/16443/101772/67389/21337/21416/14161/20394/13489/78896/14601/19015/14182/50873/26950/109552/14064/12015/106347/19016/269275/14526/215999/18575/20186/15107/21405/11514/11307/78894/12425/28146/56508/14226/74370/110135/15357/54126/56455/12161/13616/54615/15378/17932	FALSE
GO:0072087	renal vesicle development	19	0.760259841383848	2.02303088984361	0.000280252516753494	0.00233694437357349	0.00166914402168295	1226	tags=58%, list=6%, signal=55%	23967/20472/20682/15213/22417/20681/14573/58198/16878/12705/16869	FALSE
GO:0033598	mammary gland epithelial cell proliferation	32	0.662749458551783	1.8677593951025	0.000280252516753494	0.00233694437357349	0.00166914402168295	4133	tags=53%, list=19%, signal=43%	15402/14462/15902/12578/353310/22418/21420/21943/12443/14775/11839/13836/216439/68949/15235/18612/12608	FALSE
GO:0042100	B cell proliferation	119	0.516468101754614	1.56615968408606	0.000280252516753494	0.00233694437357349	0.00166914402168295	5107	tags=46%, list=24%, signal=35%	545645/319146/545649/545652/545648/12578/12484/230126/69816/16153/435791/81897/242517/12151/17319/18753/14284/384783/238875/56708/15964/230396/404549/15972/72049/12575/16199/15969/387510/15967/15965/15970/22363/15974/11444/12053/15968/11486/22416/12043/18019/13844/16163/12520/16198/15977/17260/21948/242519/19419/16196/230405/16187/12367/21898	FALSE
