gene	source	is_derived	is_external	k119ub_ctrl_signal	k119ub_log2fc	k119ub_decile
Acsl6	both	TRUE	TRUE	0.994316	-0.290313	6
Acss2	external	FALSE	TRUE	0.633723	-0.218392	3
Actb	both	TRUE	TRUE	1.80278	-0.56566	8
Actbl2	both	TRUE	TRUE	2.349463	0.254689	9
Acte1	external	FALSE	TRUE	0.514257	-0.336236	2
Actg1	both	TRUE	TRUE	2.994529	-0.4455	10
Actl6a	both	TRUE	TRUE	0.732687	0.269321	4
Actl6b	both	TRUE	TRUE	0.485414	-0.099528	2
Actl9	derived	TRUE	FALSE	0.764681	-0.044532	4
Actn1	external	FALSE	TRUE	1.469891	-0.032955	8
Actn2	external	FALSE	TRUE	0.838882	-0.003491	5
Actn3	both	TRUE	TRUE	1.180238	-0.074351	7
Actr10	both	TRUE	TRUE	0.34848	-0.009929	1
Actr2	both	TRUE	TRUE	0.578416	0.290179	3
Actr3	both	TRUE	TRUE	0.610536	0.027325	3
Acvr1b	both	TRUE	TRUE	1.174776	-0.268236	7
Acvr1c	both	TRUE	TRUE	1.275383	0.509238	7
Adam10	both	TRUE	TRUE	0.35632	-0.112988	1
Adam17	both	TRUE	TRUE	0.453306	-0.09532	1
Adam2	both	TRUE	TRUE	0.608452	-0.332878	3
Adam22	both	TRUE	TRUE	0.821679	0.278586	4
Adam8	both	TRUE	TRUE	1.187707	-0.128017	7
Adamts1	both	TRUE	TRUE	6.093162	0.526388	10
Adarb1	both	TRUE	TRUE	1.444837	-0.079773	8
Adcy1	both	TRUE	TRUE	1.059615	-0.339049	6
Adcy10	both	TRUE	TRUE	0.808174	-0.039901	4
Adcy3	both	TRUE	TRUE	1.706587	0.156819	8
Adcy5	both	TRUE	TRUE	3.136977	0.123483	10
Adcy6	both	TRUE	TRUE	1.362198	-0.164507	7
Adcy8	both	TRUE	TRUE	1.249576	0.277289	7
Adcyap1	both	TRUE	TRUE	9.043131	-0.141194	10
Add2	both	TRUE	TRUE	1.178482	-0.239326	7
Adgra2	both	TRUE	TRUE	2.115144	-0.148327	9
Adgrb1	both	TRUE	TRUE	5.285753	-0.209689	10
Adgrb2	both	TRUE	TRUE	2.444526	-0.3605	9
Adgrb3	both	TRUE	TRUE	1.3507	0.070807	7
Adgrd1	external	FALSE	TRUE	1.530116	-0.393523	8
Adgre5	both	TRUE	TRUE	1.234272	-0.029467	7
Adgrf1	both	TRUE	TRUE	1.07042	-0.047501	6
Adgrg1	both	TRUE	TRUE	3.836001	0.319048	10
