gene_set	n	median	mean	q25	q75	min	max	condition
Neuronal + MeCP2 up	129	0.020382038744365	0.0218400253277441	0.016743750958309	0.0249557943714176	0.0122665879391874	0.0549857666147472	Control
Neuronal only	4080	0.0174584011386607	0.0197171370911549	0.0146208459615453	0.0223205748229761	0.00328479944408927	0.0895307868059838	Control
MeCP2 up only	283	0.020492802245466	0.0219841576720294	0.0167024110876805	0.025784072672863	0.0112213335358184	0.0703361356519932	Control
Other	16580	0.0153308142363358	0.0170220081098994	0.0131012269108542	0.0190701923673276	0.00240940795046402	0.0858736020018395	Control
Neuronal + MeCP2 up	129	0.0233803437580226	0.0252382872704946	0.0178628092157616	0.0299500068829892	0.0131782465836026	0.0521299766054108	Mutant
Neuronal only	4080	0.0174914840680938	0.0196502840494332	0.0148608651496952	0.0221278047817205	0.00647212456370623	0.0716460229042954	Mutant
MeCP2 up only	283	0.0243673221096157	0.0271436223874021	0.0182193634596706	0.0332840007391745	0.0096495576610046	0.0879035198868638	Mutant
Other	16580	0.0155793812902741	0.0173788853140047	0.0136010052477654	0.0191089377748594	0.00463579376426155	0.0901804682837172	Mutant
