GOID	TERM	n_mouse_genes
GO:0002266	follicular dendritic cell activation	2
GO:0002268	follicular dendritic cell differentiation	2
GO:0002373	plasmacytoid dendritic cell cytokine production	2
GO:0002731	negative regulation of dendritic cell cytokine production	2
GO:0010808	positive regulation of synaptic vesicle priming	2
GO:0016182	synaptic vesicle budding from endosome	2
GO:0021526	medial motor column neuron differentiation	2
GO:0021812	neuronal-glial interaction involved in cerebral cortex radial glia guided migration	2
GO:0021831	embryonic olfactory bulb interneuron precursor migration	2
GO:0021836	chemorepulsion involved in postnatal olfactory bulb interneuron migration	2
GO:0021840	directional guidance of interneurons involved in migration from the subpallium to the cortex	2
GO:0021842	chemorepulsion involved in interneuron migration from the subpallium to the cortex	2
GO:0021893	cerebral cortex GABAergic interneuron fate commitment	2
GO:0021966	corticospinal neuron axon guidance	2
GO:0030887	positive regulation of myeloid dendritic cell activation	2
GO:0035545	determination of left/right asymmetry in nervous system	2
GO:0036482	neuron intrinsic apoptotic signaling pathway in response to hydrogen peroxide	2
GO:0036518	chemorepulsion of dopaminergic neuron axon	2
GO:0048688	negative regulation of sprouting of injured axon	2
GO:0048691	positive regulation of axon extension involved in regeneration	2
GO:0048692	negative regulation of axon extension involved in regeneration	2
GO:0051943	positive regulation of amino acid uptake involved in synaptic transmission	2
GO:0060092	regulation of synaptic transmission, glycinergic	2
GO:0060163	subpallium neuron fate commitment	2
GO:0061373	mammillary axonal complex development	2
GO:0070194	synaptonemal complex disassembly	2
GO:0090125	cell-cell adhesion involved in synapse maturation	2
GO:0097156	fasciculation of motor neuron axon	2
GO:0098886	modification of dendritic spine	2
GO:0098923	retrograde trans-synaptic signaling by soluble gas	2
GO:0098924	retrograde trans-synaptic signaling by nitric oxide	2
GO:0098939	dendritic transport of mitochondrion	2
GO:0098968	neurotransmitter receptor transport postsynaptic membrane to endosome	2
GO:0099082	retrograde trans-synaptic signaling by neuropeptide	2
GO:0099140	presynaptic actin cytoskeleton organization	2
GO:0099148	regulation of synaptic vesicle docking	2
GO:0099153	synaptic transmission, serotonergic	2
GO:0099180	zinc ion import into synaptic vesicle	2
GO:0099187	presynaptic cytoskeleton organization	2
GO:0099551	trans-synaptic signaling by neuropeptide, modulating synaptic transmission	2
GO:0099554	trans-synaptic signaling by soluble gas, modulating synaptic transmission	2
GO:0099555	trans-synaptic signaling by nitric oxide, modulating synaptic transmission	2
GO:0099630	postsynaptic neurotransmitter receptor cycle	2
GO:0099642	retrograde axonal protein transport	2
GO:0106028	neuron projection retraction	2
GO:0120006	regulation of glutamatergic neuron differentiation	2
GO:0150007	clathrin-dependent synaptic vesicle endocytosis	2
GO:0150036	regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission	2
GO:0150038	postsynaptic dense core vesicle exocytosis	2
GO:0150045	regulation of synaptic signaling by nitric oxide	2
GO:1901631	positive regulation of presynaptic membrane organization	2
GO:1902805	positive regulation of synaptic vesicle transport	2
GO:1903382	negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway	2
GO:1903383	regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway	2
GO:1903384	negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway	2
GO:1903744	positive regulation of anterograde synaptic vesicle transport	2
GO:1904890	negative regulation of excitatory synapse assembly	2
GO:1905424	regulation of Wnt-mediated midbrain dopaminergic neuron differentiation	2
GO:1905426	positive regulation of Wnt-mediated midbrain dopaminergic neuron differentiation	2
GO:1905608	positive regulation of presynapse assembly	2
GO:2000521	negative regulation of immunological synapse formation	2
GO:2001017	regulation of retrograde axon cargo transport	2
GO:2001019	positive regulation of retrograde axon cargo transport	2
GO:0002383	immune response in brain or nervous system	1
GO:0002410	plasmacytoid dendritic cell chemotaxis	1
GO:0002469	myeloid dendritic cell antigen processing and presentation	1
GO:0002736	regulation of plasmacytoid dendritic cell cytokine production	1
GO:0002737	negative regulation of plasmacytoid dendritic cell cytokine production	1
GO:0003359	noradrenergic neuron fate commitment	1
GO:0014011	Schwann cell proliferation involved in axon regeneration	1
GO:0014853	regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction	1
GO:0021528	commissural neuron differentiation in spinal cord	1
GO:0021556	central nervous system formation	1
GO:0021793	chemorepulsion of branchiomotor axon	1
GO:0021813	cell-cell adhesion involved in neuronal-glial interactions involved in cerebral cortex radial glia guided migration	1
GO:0021837	motogenic signaling involved in postnatal olfactory bulb interneuron migration	1
GO:0021858	GABAergic neuron differentiation in basal ganglia	1
GO:0021944	neuronal-glial interaction involved in hindbrain glial-mediated radial cell migration	1
GO:0021956	central nervous system interneuron axonogenesis	1
GO:0021972	corticospinal neuron axon guidance through spinal cord	1
GO:0032223	negative regulation of synaptic transmission, cholinergic	1
GO:0035750	protein localization to myelin sheath abaxonal region	1
GO:0036516	chemoattraction of dopaminergic neuron axon	1
GO:0036517	chemoattraction of serotonergic neuron axon	1
GO:0045886	negative regulation of synaptic assembly at neuromuscular junction	1
GO:0048174	negative regulation of short-term neuronal synaptic plasticity	1
GO:0048673	collateral sprouting of intact axon in response to injury	1
GO:0048674	collateral sprouting of injured axon	1
GO:0048683	regulation of collateral sprouting of intact axon in response to injury	1
GO:0048693	regulation of collateral sprouting of injured axon	1
GO:0048694	positive regulation of collateral sprouting of injured axon	1
GO:0048894	efferent axon development in a lateral line nerve	1
GO:0051585	negative regulation of dopamine uptake involved in synaptic transmission	1
GO:0051945	negative regulation of catecholamine uptake involved in synaptic transmission	1
GO:0060094	positive regulation of synaptic transmission, glycinergic	1
GO:0060165	regulation of timing of subpallium neuron differentiation	1
GO:0060386	synapse assembly involved in innervation	1
GO:0060404	axonemal microtubule depolymerization	1
GO:0060580	ventral spinal cord interneuron fate determination	1
GO:0060945	cardiac neuron differentiation	1
GO:0061374	mammillothalamic axonal tract development	1
GO:0061452	retrotrapezoid nucleus neuron differentiation	1
GO:0061880	regulation of anterograde axonal transport of mitochondrion	1
GO:0061881	positive regulation of anterograde axonal transport of mitochondrion	1
GO:0061938	protein localization to somatodendritic compartment	1
GO:0071206	establishment of protein localization to juxtaparanode region of axon	1
GO:0071678	olfactory bulb axon guidance	1
GO:0090126	protein-containing complex assembly involved in synapse maturation	1
GO:0090260	negative regulation of retinal ganglion cell axon guidance	1
GO:0097115	neurexin clustering involved in presynaptic membrane assembly	1
GO:0097377	spinal cord interneuron axon guidance	1
GO:0097432	hippocampal pyramidal neuron differentiation	1
GO:0098694	regulation of synaptic vesicle budding from presynaptic endocytic zone membrane	1
GO:0098817	evoked excitatory postsynaptic potential	1
GO:0098925	retrograde trans-synaptic signaling by nitric oxide, modulating synaptic transmission	1
GO:0098972	anterograde dendritic transport of mitochondrion	1
GO:0099083	retrograde trans-synaptic signaling by neuropeptide, modulating synaptic transmission	1
GO:0099088	axonal transport of messenger ribonucleoprotein complex	1
GO:0099089	establishment of endoplasmic reticulum localization to postsynapse	1
GO:0099123	somato-dendritic dopamine secretion	1
GO:0099145	regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane	1
GO:0099158	regulation of recycling endosome localization within postsynapse	1
GO:0099162	regulation of neurotransmitter loading into synaptic vesicle	1
GO:0099533	positive regulation of presynaptic cytosolic calcium concentration	1
GO:0099546	protein catabolic process, modulating synaptic transmission	1
GO:0099575	regulation of protein catabolic process at presynapse, modulating synaptic transmission	1
GO:0099577	regulation of translation at presynapse, modulating synaptic transmission	1
GO:0101027	optical nerve axon regeneration	1
GO:0110090	positive regulation of hippocampal neuron apoptotic process	1
GO:0120007	negative regulation of glutamatergic neuron differentiation	1
GO:0120008	positive regulation of glutamatergic neuron differentiation	1
GO:0140060	axon arborization	1
GO:0140231	anterograde axonal transport of neurotransmitter receptor complex	1
GO:0140235	RNA polyadenylation at postsynapse	1
GO:0140244	regulation of translation at presynapse	1
GO:0150013	negative regulation of neuron projection arborization	1
GO:0150035	regulation of trans-synaptic signaling by BDNF, modulating synaptic transmission	1
GO:0150044	regulation of postsynaptic dense core vesicle exocytosis	1
GO:0150089	multiple spine synapse organization	1
GO:0150090	multiple spine synapse organization, single dendrite	1
GO:0150092	regulation of synaptic scaling	1
GO:1900243	negative regulation of synaptic vesicle endocytosis	1
GO:1900383	regulation of synaptic plasticity by receptor localization to synapse	1
GO:1901627	negative regulation of postsynaptic membrane organization	1
GO:1902076	regulation of lateral motor column neuron migration	1
GO:1902078	positive regulation of lateral motor column neuron migration	1
GO:1902378	VEGF-activated neuropilin signaling pathway involved in axon guidance	1
GO:1902668	negative regulation of axon guidance	1
GO:1902684	negative regulation of receptor localization to synapse	1
GO:1902804	negative regulation of synaptic vesicle transport	1
GO:1902847	regulation of neuronal signal transduction	1
GO:1903045	neural crest cell migration involved in sympathetic nervous system development	1
GO:1903743	negative regulation of anterograde synaptic vesicle transport	1
GO:1904799	regulation of neuron remodeling	1
GO:1904800	negative regulation of neuron remodeling	1
GO:1904937	sensory neuron migration	1
GO:1905044	regulation of Schwann cell proliferation involved in axon regeneration	1
GO:1905045	negative regulation of Schwann cell proliferation involved in axon regeneration	1
GO:1905126	regulation of axo-dendritic protein transport	1
GO:1905128	positive regulation of axo-dendritic protein transport	1
GO:1905432	regulation of retrograde trans-synaptic signaling by neuropeptide	1
GO:1905433	negative regulation of retrograde trans-synaptic signaling by neuropeptide	1
GO:1905438	non-canonical Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation	1
GO:1905483	regulation of motor neuron migration	1
GO:1905485	positive regulation of motor neuron migration	1
GO:1905512	regulation of short-term synaptic potentiation	1
GO:1905513	negative regulation of short-term synaptic potentiation	1
GO:1905518	regulation of presynaptic active zone assembly	1
GO:1905520	positive regulation of presynaptic active zone assembly	1
GO:1905591	regulation of optical nerve axon regeneration	1
GO:1905592	negative regulation of optical nerve axon regeneration	1
GO:1905607	negative regulation of presynapse assembly	1
GO:1905703	negative regulation of inhibitory synapse assembly	1
GO:1905805	excitatory synapse pruning	1
GO:1905808	positive regulation of synapse pruning	1
GO:1905875	negative regulation of postsynaptic density organization	1
GO:1990832	slow axonal transport	1
GO:2000509	negative regulation of dendritic cell chemotaxis	1
GO:2000526	positive regulation of glycoprotein biosynthetic process involved in immunological synapse formation	1
GO:2000548	negative regulation of dendritic cell dendrite assembly	1
GO:2000549	positive regulation of dendritic cell dendrite assembly	1
GO:2000808	negative regulation of synaptic vesicle clustering	1
GO:2000979	positive regulation of forebrain neuron differentiation	1
GO:0001507	acetylcholine catabolic process in synaptic cleft	0
GO:0002267	follicular dendritic cell activation involved in immune response	0
GO:0002271	plasmacytoid dendritic cell activation involved in immune response	0
GO:0002272	plasmacytoid dendritic cell differentiation involved in immune response	0
GO:0002284	myeloid dendritic cell differentiation involved in immune response	0
GO:0002405	antigen sampling by dendritic cells in mucosal-associated lymphoid tissue	0
GO:0002470	plasmacytoid dendritic cell antigen processing and presentation	0
GO:0002607	regulation of myeloid dendritic cell antigen processing and presentation	0
GO:0002608	negative regulation of myeloid dendritic cell antigen processing and presentation	0
GO:0002609	positive regulation of myeloid dendritic cell antigen processing and presentation	0
GO:0002610	regulation of plasmacytoid dendritic cell antigen processing and presentation	0
GO:0002611	negative regulation of plasmacytoid dendritic cell antigen processing and presentation	0
GO:0002612	positive regulation of plasmacytoid dendritic cell antigen processing and presentation	0
GO:0002734	negative regulation of myeloid dendritic cell cytokine production	0
GO:0002738	positive regulation of plasmacytoid dendritic cell cytokine production	0
GO:0003019	central nervous system control of baroreceptor feedback	0
GO:0003087	positive regulation of the force of heart contraction by neuronal epinephrine	0
GO:0003090	positive regulation of the force of heart contraction by neuronal epinephrine-norepinephrine	0
GO:0003110	positive regulation of the force of heart contraction by neuronal norepinephrine	0
GO:0003112	positive regulation of heart rate by neuronal epinephrine	0
GO:0003113	positive regulation of heart rate by neuronal norepinephrine	0
GO:0003118	regulation of vasoconstriction by neuronal norepinephrine	0
GO:0003119	regulation of vasoconstriction by neuronal epinephrine	0
GO:0003361	noradrenergic neuron differentiation involved in brainstem development	0
GO:0003362	noradrenergic neuron fate commitment involved in brainstem development	0
GO:0003387	neuron differentiation involved in amphid sensory organ development	0
GO:0003388	neuron development involved in amphid sensory organ development	0
GO:0003390	dendrite development by retrograde extension	0
GO:0003391	amphid sensory organ dendrite retrograde extension	0
GO:0003393	neuron migration involved in retrograde extension	0
GO:0003394	cell adhesion involved in dendrite retrograde extension	0
GO:0003395	neuron migration involved in dendrite retrograde extension	0
GO:0003396	cell adhesion involved in amphid sensory organ dendrite retrograde extension	0
GO:0003397	neuron migration involved in amphid sensory organ dendrite retrograde extension	0
GO:0007027	negative regulation of axonemal microtubule depolymerization	0
GO:0007414	axonal defasciculation	0
GO:0007415	defasciculation of motor neuron axon	0
GO:0007421	stomatogastric nervous system development	0
GO:0010809	negative regulation of synaptic vesicle priming	0
GO:0014814	axon regeneration at neuromuscular junction	0
GO:0016200	synaptic target attraction	0
GO:0016201	synaptic target inhibition	0
GO:0021518	spinal cord commissural neuron specification	0
GO:0021519	spinal cord association neuron specification	0
GO:0021525	lateral motor column neuron differentiation	0
GO:0021597	central nervous system structural organization	0
GO:0021774	retinoic acid receptor signaling pathway involved in ventral spinal cord interneuron specification	0
GO:0021786	branchiomotor neuron axon guidance in neural tube	0
GO:0021787	chemorepulsion of branchiomotor neuron axon in neural tube	0
GO:0021788	chemoattraction of branchiomotor neuron axon in neural tube	0
GO:0021789	branchiomotor neuron axon guidance in branchial arch mesenchyme	0
GO:0021790	chemorepulsion of branchiomotor neuron axon in branchial arch mesenchyme	0
GO:0021791	chemoattraction of branchiomotor neuron axon in branchial arch mesenchyme	0
GO:0021792	chemoattraction of branchiomotor axon	0
GO:0021824	cerebral cortex tangential migration using cell-axon interactions	0
GO:0021834	chemorepulsion involved in embryonic olfactory bulb interneuron precursor migration	0
GO:0021835	chemoattraction involved in embryonic olfactory bulb interneuron precursor migration	0
GO:0021838	motogenic signaling involved in interneuron migration from the subpallium to the cortex	0
GO:0021839	interneuron-substratum interaction involved in interneuron migration from the subpallium to the cortex	0
GO:0021841	chemoattraction involved in interneuron migration from the subpallium to the cortex	0
GO:0021844	interneuron sorting involved in substrate-independent cerebral cortex tangential migration	0
GO:0021845	neurotransmitter-mediated guidance of interneurons involved in substrate-independent cerebral cortex tangential migration	0
GO:0021862	early neuron differentiation in forebrain	0
GO:0021880	Notch signaling pathway involved in forebrain neuron fate commitment	0
GO:0021881	Wnt-activated signaling pathway involved in forebrain neuron fate commitment	0
GO:0021887	hypothalamus gonadotrophin-releasing hormone neuron fate commitment	0
GO:0021890	olfactory bulb interneuron fate commitment	0
GO:0021898	commitment of multipotent stem cells to neuronal lineage in forebrain	0
GO:0021899	fibroblast growth factor receptor signaling pathway involved in forebrain neuron fate commitment	0
GO:0021901	early neuron fate commitment in forebrain	0
GO:0021916	inductive cell-cell signaling between paraxial mesoderm and motor neuron precursors	0
GO:0021917	somatic motor neuron fate commitment	0
GO:0021927	deep nuclear neuron precursor proliferation	0
GO:0021931	rostral hindbrain neuronal precursor cell proliferation	0
GO:0021946	deep nuclear neuron cell migration	0
GO:0021947	outward migration of deep nuclear neurons	0
GO:0021948	inward migration of deep nuclear neurons	0
GO:0021949	brainstem precerebellar neuron precursor migration	0
GO:0021950	chemorepulsion involved in precerebellar neuron migration	0
GO:0021951	chemoattraction involved in precerebellar neuron migration	0
GO:0021967	corticospinal neuron axon guidance through the cerebral cortex	0
GO:0021968	corticospinal neuron axon guidance through the internal capsule	0
GO:0021969	corticospinal neuron axon guidance through the cerebral peduncle	0
GO:0021970	corticospinal neuron axon guidance through the basilar pons	0
GO:0021971	corticospinal neuron axon guidance through the medullary pyramid	0
GO:0021973	corticospinal neuron axon decussation	0
GO:0022025	leukemia inhibitory factor signaling pathway involved in forebrain neuron fate commitment	0
GO:0022026	epidermal growth factor signaling pathway involved in forebrain neuron fate commitment	0
GO:0031631	negative regulation of synaptic vesicle fusion to presynaptic active zone membrane	0
GO:0031637	regulation of neuronal synaptic plasticity in response to neurotrophin	0
GO:0031916	regulation of synaptic metaplasticity	0
GO:0031917	negative regulation of synaptic metaplasticity	0
GO:0031918	positive regulation of synaptic metaplasticity	0
GO:0032285	non-myelinated axon ensheathment	0
GO:0032293	non-myelinated axon ensheathment in central nervous system	0
GO:0032294	peripheral nervous system non-myelinated axon ensheathment	0
GO:0032295	ensheathment of neuronal cell bodies	0
GO:0032598	B cell receptor transport into immunological synapse	0
GO:0035193	larval central nervous system remodeling	0
GO:0035765	motor neuron precursor migration involved in dorsal motor nucleus of vagus nerve formation	0
GO:0036519	chemorepulsion of serotonergic neuron axon	0
GO:0039673	evasion by virus of host dendritic cell activity	0
GO:0044758	modulation by symbiont of host synaptic transmission	0
GO:0044759	negative regulation by symbiont of host synaptic transmission	0
GO:0044760	modulation by symbiont of host cholinergic synaptic transmission	0
GO:0044761	negative regulation by symbiont of host cholinergic synaptic transmission	0
GO:0048171	negative regulation of long-term neuronal synaptic plasticity	0
GO:0048173	positive regulation of short-term neuronal synaptic plasticity	0
GO:0048491	retrograde synaptic vesicle transport	0
GO:0048684	positive regulation of collateral sprouting of intact axon in response to injury	0
GO:0048685	negative regulation of collateral sprouting of intact axon in response to injury	0
GO:0048689	formation of growth cone in injured axon	0
GO:0048695	negative regulation of collateral sprouting of injured axon	0
GO:0048891	lateral line ganglion neuron differentiation	0
GO:0048893	afferent axon development in lateral line nerve	0
GO:0048897	myelination of lateral line nerve axons	0
GO:0048908	anterior lateral line ganglion neuron differentiation	0
GO:0048910	afferent axon development in anterior lateral line nerve	0
GO:0048911	efferent axon development in anterior lateral line nerve	0
GO:0048914	myelination of anterior lateral line nerve axons	0
GO:0048928	posterior lateral line ganglion neuron differentiation	0
GO:0048929	efferent axon development in posterior lateral line nerve	0
GO:0048932	myelination of posterior lateral line nerve axons	0
GO:0048933	afferent axon development in posterior lateral line nerve	0
GO:0051587	inhibition of dopamine uptake involved in synaptic transmission	0
GO:0051826	negative regulation of synapse structural plasticity	0
GO:0051913	regulation of synaptic plasticity by chemical substance	0
GO:0051914	positive regulation of synaptic plasticity by chemical substance	0
GO:0051915	induction of synaptic plasticity by chemical substance	0
GO:0051942	negative regulation of amino acid uptake involved in synaptic transmission	0
GO:0060093	negative regulation of synaptic transmission, glycinergic	0
GO:0060095	zinc potentiation of synaptic transmission, glycinergic	0
GO:0060705	neuron differentiation involved in salivary gland development	0
GO:0060959	cardiac neuron development	0
GO:0060960	cardiac neuron fate commitment	0
GO:0061375	mammillotectal axonal tract development	0
GO:0061376	mammillotegmental axonal tract development	0
GO:0061882	negative regulation of anterograde axonal transport of mitochondrion	0
GO:0061886	negative regulation of mini excitatory postsynaptic potential	0
GO:0062235	axonemal basal plate assembly	0
GO:0070983	dendrite guidance	0
GO:0072499	photoreceptor cell axon guidance	0
GO:0090127	positive regulation of synapse maturation by synaptic transmission	0
GO:0090173	regulation of synaptonemal complex assembly	0
GO:0090507	phenylethylamine metabolic process involved in synaptic transmission	0
GO:0090508	phenylethylamine biosynthetic process involved in synaptic transmission	0
GO:0097375	spinal sensory neuron axon guidance	0
GO:0097378	dorsal spinal cord interneuron axon guidance	0
GO:0097379	dorsal spinal cord interneuron posterior axon guidance	0
GO:0097380	dorsal spinal cord interneuron anterior axon guidance	0
GO:0097410	hippocampal interneuron differentiation	0
GO:0097480	establishment of synaptic vesicle localization	0
GO:0098818	hyperpolarization of postsynaptic membrane	0
GO:0098819	depolarization of postsynaptic membrane	0
GO:0098873	neuronal action potential back-propagation	0
GO:0098934	retrograde dendritic transport	0
GO:0098940	anterograde trans-synaptic signaling by nitric oxide	0
GO:0098941	anterograde trans-synaptic signaling by trans-synaptic protein complex	0
GO:0098959	retrograde dendritic transport of mitochondrion	0
GO:0098987	regulation of modification of synapse structure, modulating synaptic transmission	0
GO:0099014	neuronal dense core vesicle organization	0
GO:0099069	synaptic vesicle tethering involved in synaptic vesicle exocytosis	0
GO:0099087	anterograde axonal transport of messenger ribonucleoprotein complex	0
GO:0099113	negative regulation of presynaptic cytosolic calcium concentration	0
GO:0099124	axonal dopamine secretion	0
GO:0099155	synaptic transmission, noradrenergic	0
GO:0099157	trans-synaptic signaling via exosome	0
GO:0099176	regulation of retrograde trans-synaptic signaling by trans-synaptic protein complex	0
GO:0099185	postsynaptic intermediate filament cytoskeleton organization	0
GO:0099190	postsynaptic spectrin-associated cytoskeleton organization	0
GO:0099506	synaptic vesicle transport along actin filament	0
GO:0099531	presynaptic process involved in chemical synaptic transmission	0
GO:0099539	neuropeptide secretion from presynapse	0
GO:0099549	trans-synaptic signaling by carbon monoxide	0
GO:0099556	trans-synaptic signaling by carbon monoxide, modulating synaptic transmission	0
GO:0099559	maintenance of alignment of postsynaptic density and presynaptic active zone	0
GO:0099561	synaptic membrane adhesion to extracellular matrix	0
GO:0099564	modification of synaptic structure, modulating synaptic transmission	0
GO:0099574	regulation of protein catabolic process at synapse, modulating synaptic transmission	0
GO:0099585	release of sequestered calcium ion into presynaptic cytosol	0
GO:0099586	release of sequestered calcium ion into postsynaptic cytosol	0
GO:0099588	positive regulation of postsynaptic cytosolic calcium concentration	0
GO:0099592	endocytosed synaptic vesicle processing via endosome	0
GO:0099593	endocytosed synaptic vesicle to endosome fusion	0
GO:0099644	protein localization to presynaptic membrane	0
GO:0099703	induction of synaptic vesicle exocytosis by positive regulation of presynaptic cytosolic calcium ion concentration	0
GO:0100067	positive regulation of spinal cord association neuron differentiation by canonical Wnt signaling pathway	0
GO:0106092	glial cell projection elongation involved in axon ensheathment	0
GO:0120308	axonemal outer doublet assembly	0
GO:0140237	translation at presynapse, modulating chemical synaptic transmission	0
GO:0140247	protein catabolic process at presynapse	0
GO:0150008	bulk synaptic vesicle endocytosis	0
GO:0150021	apical dendrite morphogenesis	0
GO:0150022	apical dendrite development	0
GO:0150023	apical dendrite arborization	0
GO:0150091	multiple spine synapse organization, multiple dendrites	0
GO:0160001	extrasynaptic signaling via GABA	0
GO:0160036	positive regulation of postsynaptic density assembly	0
GO:0160037	negative regulation of postsynaptic density assembly	0
GO:1900074	negative regulation of neuromuscular synaptic transmission	0
GO:1901546	regulation of synaptic vesicle lumen acidification	0
GO:1901547	negative regulation of synaptic vesicle lumen acidification	0
GO:1901548	positive regulation of synaptic vesicle lumen acidification	0
GO:1901630	negative regulation of presynaptic membrane organization	0
GO:1901633	negative regulation of synaptic vesicle membrane organization	0
GO:1902077	negative regulation of lateral motor column neuron migration	0
GO:1902286	semaphorin-plexin signaling pathway involved in dendrite guidance	0
GO:1902829	regulation of spinal cord association neuron differentiation	0
GO:1902830	negative regulation of spinal cord association neuron differentiation	0
GO:1902831	positive regulation of spinal cord association neuron differentiation	0
GO:1902844	positive regulation of spinal cord association neuron differentiation by negative regulation of canonical Wnt signaling pathway	0
GO:1902848	negative regulation of neuronal signal transduction	0
GO:1902849	positive regulation of neuronal signal transduction	0
GO:1903388	regulation of synaptic vesicle uncoating	0
GO:1903389	negative regulation of synaptic vesicle uncoating	0
GO:1903390	positive regulation of synaptic vesicle uncoating	0
GO:1904072	presynaptic active zone disassembly	0
GO:1904081	positive regulation of transcription from RNA polymerase II promoter involved in neuron differentiation	0
GO:1904801	positive regulation of neuron remodeling	0
GO:1904955	planar cell polarity pathway involved in midbrain dopaminergic neuron differentiation	0
GO:1904957	negative regulation of midbrain dopaminergic neuron differentiation	0
GO:1905046	positive regulation of Schwann cell proliferation involved in axon regeneration	0
GO:1905079	regulation of cerebellar neuron development	0
GO:1905080	negative regulation of cerebellar neuron development	0
GO:1905081	positive regulation of cerebellar neuron development	0
GO:1905088	positive regulation of synaptonemal complex assembly	0
GO:1905127	negative regulation of axo-dendritic protein transport	0
GO:1905129	endocannabinoid signaling pathway involved in trans-synaptic signaling	0
GO:1905197	endocannabinoid signaling pathway involved in retrograde trans-synaptic signaling	0
GO:1905275	Rohon-Beard neuron differentiation	0
GO:1905384	regulation of protein localization to presynapse	0
GO:1905385	negative regulation of protein localization to presynapse	0
GO:1905386	positive regulation of protein localization to presynapse	0
GO:1905425	negative regulation of Wnt-mediated midbrain dopaminergic neuron differentiation	0
GO:1905434	positive regulation of retrograde trans-synaptic signaling by neuropeptide	0
GO:1905484	negative regulation of motor neuron migration	0
GO:1905486	regulation of anterior/posterior axon guidance	0
GO:1905487	negative regulation of anterior/posterior axon guidance	0
GO:1905488	positive regulation of anterior/posterior axon guidance	0
GO:1905489	regulation of sensory neuron axon guidance	0
GO:1905490	negative regulation of sensory neuron axon guidance	0
GO:1905491	positive regulation of sensory neuron axon guidance	0
GO:1905514	positive regulation of short-term synaptic potentiation	0
GO:1905519	negative regulation of presynaptic active zone assembly	0
GO:1905593	positive regulation of optical nerve axon regeneration	0
GO:1905741	calcium export from the mitochondrion involved in positive regulation of presynaptic cytosolic calcium concentration	0
GO:1905743	calcium import into the mitochondrion involved in negative regulation of presynaptic cytosolic calcium concentration	0
GO:1905807	negative regulation of synapse pruning	0
GO:1905810	regulation of excitatory synapse pruning	0
GO:1905811	negative regulation of excitatory synapse pruning	0
GO:1905812	regulation of motor neuron axon guidance	0
GO:1905813	negative regulation of motor neuron axon guidance	0
GO:1905814	positive regulation of motor neuron axon guidance	0
GO:1905815	regulation of dorsal/ventral axon guidance	0
GO:1905816	negative regulation of dorsal/ventral axon guidance	0
GO:1905817	positive regulation of dorsal/ventral axon guidance	0
GO:1905876	positive regulation of postsynaptic density organization	0
GO:1905942	regulation of formation of growth cone in injured axon	0
GO:1905943	negative regulation of formation of growth cone in injured axon	0
GO:1905944	positive regulation of formation of growth cone in injured axon	0
GO:1990255	subsynaptic reticulum organization	0
GO:2000289	regulation of photoreceptor cell axon guidance	0
GO:2000305	semaphorin-plexin signaling pathway involved in regulation of photoreceptor cell axon guidance	0
GO:2000528	negative regulation of myeloid dendritic cell chemotaxis	0
GO:2001018	negative regulation of retrograde axon cargo transport	0
GO:2001266	Roundabout signaling pathway involved in axon guidance	0
