GOID	TERM	n_mouse_genes
GO:0019896	axonal transport of mitochondrion	17
GO:0061000	negative regulation of dendritic spine development	17
GO:0098693	regulation of synaptic vesicle cycle	17
GO:1902285	semaphorin-plexin signaling pathway involved in neuron projection guidance	17
GO:1903423	positive regulation of synaptic vesicle recycling	17
GO:0032222	regulation of synaptic transmission, cholinergic	16
GO:0099527	postsynapse to nucleus signaling pathway	16
GO:1902287	semaphorin-plexin signaling pathway involved in axon guidance	16
GO:1902950	regulation of dendritic spine maintenance	16
GO:1904936	interneuron migration	16
GO:0048681	negative regulation of axon regeneration	15
GO:0070572	positive regulation of neuron projection regeneration	15
GO:0097475	motor neuron migration	15
GO:0099151	regulation of postsynaptic density assembly	15
GO:0099550	trans-synaptic signaling, modulating synaptic transmission	15
GO:0016081	synaptic vesicle docking	14
GO:0021514	ventral spinal cord interneuron differentiation	14
GO:0045161	neuronal ion channel clustering	14
GO:0048484	enteric nervous system development	14
GO:0048680	positive regulation of axon regeneration	14
GO:0060040	retinal bipolar neuron differentiation	14
GO:0090394	negative regulation of excitatory postsynaptic potential	14
GO:0098883	synapse pruning	14
GO:0098908	regulation of neuronal action potential	14
GO:0098917	retrograde trans-synaptic signaling	14
GO:0098935	dendritic transport	14
GO:0150011	regulation of neuron projection arborization	14
GO:1904948	midbrain dopaminergic neuron differentiation	14
GO:2000669	negative regulation of dendritic cell apoptotic process	14
GO:0002087	regulation of respiratory gaseous exchange by nervous system process	13
GO:0002408	myeloid dendritic cell chemotaxis	13
GO:0002468	dendritic cell antigen processing and presentation	13
GO:0021527	spinal cord association neuron differentiation	13
GO:0021860	pyramidal neuron development	13
GO:0031632	positive regulation of synaptic vesicle fusion to presynaptic active zone membrane	13
GO:0031915	positive regulation of synaptic plasticity	13
GO:0051967	negative regulation of synaptic transmission, glutamatergic	13
GO:0071679	commissural neuron axon guidance	13
GO:0098970	postsynaptic neurotransmitter receptor diffusion trapping	13
GO:0099502	calcium-dependent activation of synaptic vesicle fusion	13
GO:0140059	dendrite arborization	13
GO:0140243	regulation of translation at synapse	13
GO:1900244	positive regulation of synaptic vesicle endocytosis	13
GO:1900272	negative regulation of long-term synaptic potentiation	13
GO:1901634	positive regulation of synaptic vesicle membrane organization	13
GO:1902667	regulation of axon guidance	13
GO:1904338	regulation of dopaminergic neuron differentiation	13
GO:1990535	neuron projection maintenance	13
GO:2000508	regulation of dendritic cell chemotaxis	13
GO:2000672	negative regulation of motor neuron apoptotic process	13
GO:0002732	positive regulation of dendritic cell cytokine production	12
GO:0032224	positive regulation of synaptic transmission, cholinergic	12
GO:0048934	peripheral nervous system neuron differentiation	12
GO:0048935	peripheral nervous system neuron development	12
GO:0050774	negative regulation of dendrite morphogenesis	12
GO:0051964	negative regulation of synapse assembly	12
GO:0060579	ventral spinal cord interneuron fate commitment	12
GO:0070142	synaptic vesicle budding	12
GO:0070593	dendrite self-avoidance	12
GO:0097090	presynaptic membrane organization	12
GO:0099011	neuronal dense core vesicle exocytosis	12
GO:0099532	synaptic vesicle endosomal processing	12
GO:1903377	negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	12
GO:0010807	regulation of synaptic vesicle priming	11
GO:0019227	neuronal action potential propagation	11
GO:0021520	spinal cord motor neuron cell fate specification	11
GO:0032225	regulation of synaptic transmission, dopaminergic	11
GO:0048664	neuron fate determination	11
GO:0051124	synaptic assembly at neuromuscular junction	11
GO:0060385	axonogenesis involved in innervation	11
GO:0098887	neurotransmitter receptor transport, endosome to postsynaptic membrane	11
GO:0098976	excitatory chemical synaptic transmission	11
GO:0099545	trans-synaptic signaling by trans-synaptic complex	11
GO:0099612	protein localization to axon	11
GO:0099640	axo-dendritic protein transport	11
GO:2000171	negative regulation of dendrite development	11
GO:2000510	positive regulation of dendritic cell chemotaxis	11
GO:2001223	negative regulation of neuron migration	11
GO:0002604	regulation of dendritic cell antigen processing and presentation	10
GO:0003357	noradrenergic neuron differentiation	10
GO:0007158	neuron cell-cell adhesion	10
GO:0016185	synaptic vesicle budding from presynaptic endocytic zone membrane	10
GO:0021892	cerebral cortex GABAergic interneuron differentiation	10
GO:0051583	dopamine uptake involved in synaptic transmission	10
GO:0051823	regulation of synapse structural plasticity	10
GO:0051934	catecholamine uptake involved in synaptic transmission	10
GO:0090129	positive regulation of synapse maturation	10
GO:0097104	postsynaptic membrane assembly	10
GO:0097119	postsynaptic density protein 95 clustering	10
GO:0098700	neurotransmitter loading into synaptic vesicle	10
GO:0098828	modulation of inhibitory postsynaptic potential	10
GO:0099525	presynaptic dense core vesicle exocytosis	10
GO:0099538	synaptic signaling via neuropeptide	10
GO:0140245	regulation of translation at postsynapse	10
GO:0140250	regulation protein catabolic process at synapse	10
GO:1900454	positive regulation of long-term synaptic depression	10
GO:1905274	regulation of modification of postsynaptic actin cytoskeleton	10
GO:2000807	regulation of synaptic vesicle clustering	10
GO:0007270	neuron-neuron synaptic transmission	9
GO:0021626	central nervous system maturation	9
GO:0021843	substrate-independent telencephalic tangential interneuron migration	9
GO:0021877	forebrain neuron fate commitment	9
GO:0021886	hypothalamus gonadotrophin-releasing hormone neuron differentiation	9
GO:0021888	hypothalamus gonadotrophin-releasing hormone neuron development	9
GO:0021891	olfactory bulb interneuron development	9
GO:0032229	negative regulation of synaptic transmission, GABAergic	9
GO:0032287	peripheral nervous system myelin maintenance	9
GO:0048170	positive regulation of long-term neuronal synaptic plasticity	9
GO:0097105	presynaptic membrane assembly	9
GO:0097376	interneuron axon guidance	9
GO:0098880	maintenance of postsynaptic specialization structure	9
GO:0098937	anterograde dendritic transport	9
GO:0098967	exocytic insertion of neurotransmitter receptor to postsynaptic membrane	9
GO:0099541	trans-synaptic signaling by lipid	9
GO:0099542	trans-synaptic signaling by endocannabinoid	9
GO:0099547	regulation of translation at synapse, modulating synaptic transmission	9
GO:0099641	anterograde axonal protein transport	9
GO:1905383	protein localization to presynapse	9
GO:0021521	ventral spinal cord interneuron specification	8
GO:0021830	interneuron migration from the subpallium to the cortex	8
