task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1371	97/382a5c	52137826	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 06:54:54.810	5m 58s	4m 58s	1249.7%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1374	51/d41437	52137828	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 06:54:54.978	6m 58s	5m 57s	1277.7%	20.3 GB	79.7 GB	19.3 GB	7.8 GB
1377	4d/e8ac13	52137831	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 06:54:55.304	7m 43s	6m 38s	878.1%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1372	cc/ccb2c9	52137825	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 06:54:54.724	5m 28s	4m 31s	1305.5%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1373	94/8da0da	52137827	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 06:54:54.893	8m 13s	7m 17s	958.6%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1370	9b/51efc0	52137824	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 06:54:54.641	5m 29s	4m 31s	1304.0%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1379	fe/996c87	52137832	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 06:54:55.412	5m 58s	5m 2s	1218.0%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1394	19/1f1578	52138991	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 08:11:01.244	4m 40s	4m 21s	1320.5%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1366	b1/496e59	52137820	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 06:54:54.232	5m 59s	4m 55s	1243.9%	20.1 GB	79.8 GB	19.3 GB	7.8 GB
1393	03/44f051	52138990	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 08:11:01.157	6m 55s	6m 36s	911.9%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1387	d3/53faac	52137966	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:07:08.348	5m 45s	4m 51s	1284.6%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1383	8d/e6f3a8	52138964	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 08:08:01.104	5m 55s	5m 35s	1274.7%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1381	2b/c725d2	52138903	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 08:03:16.302	6m 45s	5m 35s	1293.4%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1389	b7/6df028	52137967	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:07:08.477	5m 15s	4m 18s	1309.0%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1375	f1/a4cd74	52137830	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 06:54:55.188	6m 13s	5m 5s	1275.4%	20.4 GB	79.7 GB	19.3 GB	7.8 GB
1397	eb/f20bae	52138304	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:22:53.398	5m 45s	5m 1s	1289.1%	20.4 GB	79.7 GB	19.3 GB	7.8 GB
1398	b7/07d8ee	52138305	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:22:53.517	5m	4m 21s	1314.0%	20.1 GB	79.7 GB	19.3 GB	7.8 GB
1399	b9/dffb7f	52138306	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:22:53.611	6m 15s	5m 35s	1258.2%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1368	d2/83ab88	52137821	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 06:54:54.336	5m 29s	4m 34s	1271.3%	20.1 GB	79.8 GB	19.3 GB	7.8 GB
1423	e9/13806f	52139008	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 08:12:31.317	6m 40s	5m 27s	1289.0%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1408	96/5b27e5	52138950	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 08:06:31.301	8m 10s	7m 15s	941.9%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1409	fb/5f9201	52138363	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:29:08.676	6m 22s	5m 52s	1265.5%	20.5 GB	79.8 GB	19.3 GB	7.8 GB
1442	52/d294e0	52138506	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:39:01.182	5m	4m 44s	1290.5%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
1432	31/236bbb	52138755	alignReads (260629_Emseq_LV_index_G1_Bap1_Math1_adult_ctrl_F1_S3)	CACHED	0	2026-07-16 07:50:01.140	6m	5m 36s	1288.7%	20.3 GB	79.7 GB	19.3 GB	7.8 GB
