task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
5	f1/d38cab	52136273	fastp (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-15 23:20:25.164	3h 10m 41s	3h 9m 45s	117.3%	19.4 GB	19.6 GB	439.1 GB	433.4 GB
2	55/68f526	52136238	fastp (260629_Emseq_LV_index_E1_Bap1_Math1_adult_ctrl_M1_S1)	CACHED	0	2026-07-15 23:08:25.358	2h 33m 30s	2h 33m 16s	115.7%	17.4 GB	17.6 GB	391.2 GB	387 GB
9	54/8f1ced	52138049	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:11:08.425	5m 45s	4m 34s	1302.8%	20.4 GB	79.7 GB	19.2 GB	7.8 GB
55	c7/05c3f8	52137770	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:13.262	7m 40s	7m 15s	851.3%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
63	e9/52c481	52137782	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:15.194	8m 53s	8m 32s	894.2%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
40	d2/1a8c30	52137789	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:15.865	5m 37s	5m 6s	1151.6%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
46	a5/1f763e	52137777	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:14.755	6m 38s	6m 19s	1175.7%	20.4 GB	79.7 GB	19.3 GB	7.8 GB
68	b9/042be2	52137801	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:17.016	5m 51s	5m 31s	1049.6%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
72	93/61a264	52137774	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:14.281	5m 39s	5m 21s	1137.0%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
41	11/ba9e02	52137795	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:16.430	6m 22s	5m 52s	1123.2%	20.4 GB	79.7 GB	19.2 GB	7.8 GB
27	5b/f555ff	52137772	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:13.771	5m 54s	5m 30s	1139.6%	20.3 GB	79.8 GB	19.2 GB	7.8 GB
23	51/db9bf8	52137773	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:14.093	5m 54s	5m 19s	1161.5%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
15	85/2cdc7d	52137783	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:15.275	5m 53s	5m 27s	1145.2%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
32	9b/ae27b3	52137805	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:17.399	5m 36s	5m 5s	1139.9%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
70	6b/ac10f4	52137762	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:11.322	6m 27s	6m	1154.2%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
33	66/8e7c2e	52137804	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:17.315	5m 36s	5m 9s	1178.0%	20.3 GB	79.8 GB	19.2 GB	7.8 GB
65	00/22a08b	52137794	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:16.349	5m 37s	5m 16s	1149.4%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
82	63/62c788	52138707	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:47:46.284	4m 45s	4m 28s	1318.1%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
74	35/976f0a	52138115	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:17:53.777	4m 59s	4m 33s	1285.6%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
12	9a/90f080	52137768	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:12.714	5m 40s	5m 6s	1132.5%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
48	d2/a00b4b	52137786	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:15.621	5m 53s	5m 30s	1151.1%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
53	03/2f8e9c	52137776	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:14.669	5m 39s	5m 9s	1163.6%	20.2 GB	79.8 GB	19.2 GB	7.8 GB
45	25/363e85	52137797	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:16.635	5m 37s	5m 6s	1176.1%	20.2 GB	79.8 GB	19.2 GB	7.8 GB
24	ed/052caf	52137799	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:16.826	5m 21s	5m	1176.6%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
14	1c/afa61c	52137802	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:17.127	7m 6s	6m 42s	889.1%	20.2 GB	79.8 GB	19.2 GB	7.8 GB
25	9a/55b2f7	52137780	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:15.010	7m 38s	7m 16s	860.6%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
52	1a/2bdb59	52137769	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:12.965	6m 10s	5m 45s	1135.5%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
66	fc/cbb240	52138087	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:15:38.332	5m 30s	4m 50s	1255.4%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
69	60/834e3f	52137764	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:11.970	6m 11s	5m 43s	1154.8%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
49	c7/e0f87b	52137785	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:15.542	5m 53s	5m 30s	1151.4%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
71	e8/20fe48	52137793	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:16.256	5m 37s	5m 5s	1144.0%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
22	b1/334921	52137781	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:15.093	7m 8s	6m 40s	1175.9%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
31	9d/b40eee	52137778	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:14.839	5m 53s	5m 25s	1144.6%	20.3 GB	79.8 GB	19.2 GB	7.8 GB
26	76/8d5481	52137763	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:11.761	7m 26s	6m 59s	840.6%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
13	f9/0af3a5	52137766	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:12.289	5m 41s	5m 12s	1164.8%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
67	2d/2164f0	52137765	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:12.119	6m 11s	5m 40s	1114.8%	20.4 GB	79.7 GB	19.2 GB	7.8 GB
73	dd/8cb77f	52138593	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:42:16.059	9m 15s	8m 35s	828.7%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
30	75/06037d	52137761	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:10.868	5m 57s	5m 34s	1167.4%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
89	01/24218b	52138358	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:28:38.916	6m 22s	5m 41s	1274.8%	20.3 GB	79.8 GB	19.2 GB	7.8 GB
18	5b/aa58c4	52137779	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:14.924	7m 38s	7m 1s	891.7%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
34	cc/6b1ae8	52137798	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:16.716	7m 21s	6m 55s	854.0%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
39	85/a0a2f3	52137788	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:15.785	7m 22s	6m 52s	848.4%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
101	3c/9a68ac	52137796	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:16.547	5m 37s	5m 17s	1147.6%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
21	63/508ed6	52137771	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:13.555	5m 55s	5m 23s	1152.7%	20.3 GB	79.8 GB	19.2 GB	7.8 GB
11	00/638af2	52137784	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:15.412	6m 23s	5m 59s	1123.3%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
61	ff/70e5b5	52137790	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:15.951	5m 37s	5m 11s	1161.2%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
86	68/efc082	52138356	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:28:38.492	5m 37s	5m 7s	1298.3%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
20	f1/aaf582	52137787	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:15.702	5m 38s	5m 5s	1163.5%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
78	de/0e11d9	52138706	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:47:46.138	7m 15s	6m 56s	852.5%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
58	61/ef658e	52138780	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:51:16.177	5m 45s	4m 58s	1296.0%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
60	f0/f1a5d5	52137767	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:12.493	5m 26s	5m 2s	1163.6%	20.4 GB	79.8 GB	19.2 GB	7.8 GB
113	d4/e2f09e	52138816	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:54:46.099	5m	4m 38s	1290.7%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
88	89/2243be	52138357	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:28:38.768	5m 7s	4m 35s	1315.0%	20.5 GB	79.7 GB	19.2 GB	7.8 GB
47	f2/2cea42	52137760	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:10.705	5m 57s	5m 22s	1139.2%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
36	d4/6b98dc	52137759	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:10.520	8m 43s	8m 15s	1207.6%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
81	35/b10514	52137983	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:08:53.390	7m 15s	6m 53s	923.5%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
114	e4/7b56a0	52138817	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:54:46.263	5m	4m 39s	1288.9%	20.4 GB	79.7 GB	19.3 GB	7.8 GB
54	5c/342f74	52137775	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:14.584	5m 39s	5m 11s	1163.0%	20.3 GB	79.8 GB	19.2 GB	7.8 GB
56	4f/2e21cf	52137792	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:16.146	7m 22s	6m 57s	844.4%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
94	4c/061699	52138488	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:38:31.093	5m 15s	4m 58s	1270.0%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
103	5d/8f37f6	52137907	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:01:53.463	4m 45s	4m 32s	1302.4%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
76	f5/f3fea1	52138114	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:17:53.620	5m 15s	4m 47s	1298.0%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
120	3e/4bcd46	52137957	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:06:38.470	5m 45s	5m 17s	1282.5%	20.4 GB	79.7 GB	19.2 GB	7.8 GB
116	95/5829b1	52138818	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:54:46.446	5m 44s	5m 30s	1246.1%	20.2 GB	79.7 GB	19.3 GB	7.8 GB
119	bd/b5789f	52138820	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:54:46.769	5m 44s	5m 30s	1281.6%	20.3 GB	79.7 GB	19.3 GB	7.8 GB
123	c1/b3310a	52137960	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:06:38.890	4m 59s	4m 30s	1306.6%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
117	82/71d0ba	52138819	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:54:46.638	7m 14s	6m 48s	1298.5%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
144	f5/a89612	52138876	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:59:46.886	4m 59s	4m 32s	1309.7%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
124	67/6d0092	52137959	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:06:38.765	4m 59s	4m 31s	1295.1%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
135	1c/184c0c	52138333	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:26:38.355	6m 23s	5m 43s	1232.4%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
125	fe/85d9d0	52137961	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:06:38.982	5m 14s	4m 46s	1317.5%	20.4 GB	79.7 GB	19.2 GB	7.8 GB
143	65/4ea3f6	52138875	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:59:46.602	7m 14s	6m 43s	907.7%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
141	45/52a2fd	52138874	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:59:46.452	5m	4m 41s	1309.0%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
140	77/5d0eff	52138872	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:59:46.169	5m	4m 34s	1301.4%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
133	26/6d70ef	52138334	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:26:38.561	5m 52s	5m 14s	1285.0%	20.4 GB	79.7 GB	19.2 GB	7.8 GB
136	34/7b7b5e	52138269	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:20:08.411	5m 15s	4m 48s	1290.8%	20.4 GB	79.7 GB	19.3 GB	7.8 GB
1	71/c70acd	52136289	fastp (260629_Emseq_LV_index_A2_Bap1_Math1_adult_ctrl_M2_S5)	CACHED	0	2026-07-15 23:26:40.129	3h 48m 56s	3h 48m 4s	115.3%	22.6 GB	22.8 GB	514.9 GB	507.8 GB
142	6a/2c1edb	52138873	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:59:46.344	6m 15s	5m 52s	1241.3%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
84	5f/659e6f	52138708	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:47:46.439	4m 44s	4m 34s	1304.0%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
121	4e/648c67	52137958	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:06:38.649	5m	4m 27s	1299.1%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
165	f5/befa3e	52138974	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 08:09:16.265	4m 55s	4m 45s	1307.7%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
174	98/4941a2	52138831	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:56:31.074	5m 45s	5m 2s	1301.3%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
168	83/c10063	52138975	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 08:09:16.451	6m 55s	6m 32s	940.3%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
77	4f/4344b1	52138113	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:17:53.439	7m 45s	7m 13s	965.9%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
57	7d/7d60ac	52137800	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:16.910	5m 36s	5m 7s	1149.6%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
37	18/0b3946	52137791	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:16.063	5m 37s	5m 10s	1160.7%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
95	34/411d78	52138489	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:38:31.279	5m 45s	5m 19s	1278.0%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
118	99/9903ee	52138679	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:46:01.111	6m 30s	6m 9s	1196.0%	20.3 GB	79.7 GB	19.3 GB	7.8 GB
4	4d/8ab56e	52136274	fastp (260629_Emseq_LV_index_D2_Bap1_Math1_adult_mut_F2_S8)	CACHED	0	2026-07-15 23:20:40.171	3h 19m 11s	3h 18m 37s	115.9%	22.4 GB	22.5 GB	509.8 GB	503.9 GB
161	65/eb1aea	52138378	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:30:46.793	5m 59s	5m 35s	1268.9%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
50	80/ce0496	52137803	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 06:49:17.235	5m 36s	5m 13s	1142.7%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
180	94/7d769f	52137929	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:04:23.343	6m 15s	5m 32s	1274.4%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
167	b6/ace09c	52138643	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:44:16.385	6m	5m 24s	1306.5%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
179	63/fbaefb	52138316	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:24:38.402	5m 52s	4m 49s	1301.2%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
175	39/a0e822	52138961	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 08:07:46.091	5m 15s	4m 42s	1279.6%	20.3 GB	79.8 GB	19.2 GB	7.8 GB
160	1c/361beb	52138377	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:30:46.555	5m 14s	4m 40s	1297.8%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
170	b5/074170	52138976	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 08:09:16.655	4m 39s	4m 27s	1311.2%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
186	f3/475e1e	52138989	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 08:10:46.162	5m 55s	5m 14s	1279.9%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
182	25/6d95f3	52138317	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:24:38.548	5m	4m 28s	1297.4%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
169	10/2d3563	52138977	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 08:09:16.794	4m 54s	4m 36s	1303.3%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
178	c7/290623	52138962	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 08:07:46.188	5m 55s	5m 21s	1267.1%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
204	86/d54ecc	52138297	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:22:31.427	6m 52s	5m 56s	1260.2%	20.4 GB	79.7 GB	19.2 GB	7.8 GB
205	38/5b89f1	52138299	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:22:31.614	6m 37s	5m 40s	1248.0%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
202	b7/84517b	52138296	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:22:31.297	5m 52s	4m 54s	1293.6%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
229	77/e85ec4	52138552	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:40:31.111	7m 30s	7m 4s	952.4%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
176	ed/80df78	52138420	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:34:46.055	6m 45s	6m 16s	942.3%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
177	ef/0fac2f	52138963	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 08:07:46.313	7m 10s	6m 43s	1305.0%	20.2 GB	79.7 GB	19.2 GB	7.8 GB
224	21/fe149a	52138438	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:36:46.369	6m	5m 32s	1291.0%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
223	60/8aa5b5	52138437	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:36:46.258	7m 45s	7m 18s	967.4%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
203	2d/d6d774	52138298	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:22:31.530	5m 52s	4m 47s	1277.2%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
214	4e/27609b	52138075	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 07:13:38.455	6m 45s	6m 8s	945.1%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
252	48/ccbacc	52138934	alignReads (260629_Emseq_LV_index_F1_Bap1_Math1_adult_mut_M1_S2)	CACHED	0	2026-07-16 08:04:46.790	7m 14s	6m 44s	1269.9%	20.3 GB	79.7 GB	19.2 GB	7.8 GB
