feature_type	n_intervals	median_delta_mch	mean_delta_mch	pct_negative	statistic_V	p_value	p_adj_bh
5UTR	45110	0.00122187992607232	0.000921357704114006	44.8525825759255	558257514	5.77957105680846e-88	6.93548526817015e-88
Exon	223960	0.000808211056600547	0.000551404247147335	45.6135024111448	13643794004	6.27233821901215e-301	1.88170146570364e-300
SpliceSite_Donor	202065	0.00109971881441093	0.000631108490993588	45.7837824462425	10918022134	1.00246417271383e-203	2.00492834542765e-203
SpliceSite_Acceptor	202039	0.000997085950132467	0.000580813971926559	45.8733214874356	10912780404	1.40418224358641e-202	2.10627336537962e-202
Intron	203313	0.000596982674899452	0.000583617831612211	44.2647543442869	11672327828	0	0
3UTR	51967	0.000683270304090107	0.000520898716409178	45.3807223815113	734933405	1.1235507276621e-82	1.1235507276621e-82
