feature_type	n_enhancer	n_no_enhancer	median_delta_enhancer	median_delta_no_enhancer	median_difference	statistic_W	p_value	p_adj_bh
5UTR	437	44673	0.00135130219169054	0.00122169119797435	0.000129610993716189	10122187.5	0.182504225448246	0.182504225448246
Exon	2598	221362	0.00168365661199438	0.000797824014408394	0.000885832597585985	309688106	1.40352916236656e-11	4.21058748709967e-11
SpliceSite_Donor	1482	200583	0.00239665280715458	0.00109110747408619	0.00130554533306838	159033933.5	3.33077141424621e-06	6.66154282849242e-06
SpliceSite_Acceptor	1601	200438	0.00219949868030079	0.000986119074155886	0.00121337960614491	171005294.5	5.60446403020952e-06	8.40669604531429e-06
Intron	9670	193643	0.000674988629791183	0.000591287835919939	8.37007938712447e-05	1003160331.5	1.5642289117088e-32	9.38537347025278e-32
3UTR	647	51320	0.00147335940855574	0.000670905569895771	0.000802453838659967	17811888	0.00142004328040397	0.00170405193648476
