"quadrant","n_total_genes","percent_total_genes","n_sig_genes","percent_sig_genes","label","x","y"
"Q1 (MeCP2 up / H2A up)",2728,33,1555,76.1,"Total: n=2728 (33%)
Sig: n=1555 (76.1%)",3.15970285767759,0.209345791139018
"Q2 (MeCP2 down / H2A up)",2597,31.4,121,5.9,"Total: n=2597 (31.4%)
Sig: n=121 (5.9%)",-1.05323428589253,1.98878501582067
"Q3 (MeCP2 down / H2A down)",2429,29.3,288,14.1,"Total: n=2429 (29.3%)
Sig: n=288 (14.1%)",-1.05323428589253,-1.98878501582067
"Q4 (MeCP2 up / H2A down)",522,6.3,79,3.9,"Total: n=522 (6.3%)
Sig: n=79 (3.9%)",3.15970285767759,-1.98878501582067
