body_state	n_divergent	n_concordant	pct_divergent	pct_concordant
Active	578	281	64.2222222222222	66.7458432304038
Enhancer_Marked	148	59	16.4444444444444	14.0142517814727
Mixed	65	41	7.22222222222222	9.73871733966746
Polycomb	96	37	10.6666666666667	8.78859857482185
Unmarked	13	3	1.44444444444444	0.712589073634204
