gene_name	mch_logfc	k119ub_fold	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_has_sig	mecp2_direction
Trim33	-0.334989247415536	0.237197589	-0.008851386	0.980943984	0.980943984	1	0	FALSE	No peak
Trim45	-0.340264961580987	0.474509648	-0.014844363	0.963764615	0.963764615	1	0	FALSE	No peak
Trim55	-0.292221993969021	0.498991843	NA	NA	NA	NA	NA	NA	No peak
Trim9	-0.250323803849146	0.362453729	-0.098914408	0.647929416	0.122151828	2	0	FALSE	No peak
Trps1	-0.167805126984855	0.982987114	NA	NA	NA	NA	NA	NA	No peak
Tsc22d2	-0.244140314112862	0.326409531	-0.068305951	0.775779913	0.775779913	2	0	FALSE	No peak
Tspan13	-0.451081949067145	0.657902036	-0.051557846	0.839661625	0.839661625	1	0	FALSE	No peak
Tspan5	-0.163942799280364	0.644596098	-0.038193612	0.886327306	0.886327306	1	0	FALSE	No peak
Ttc17	-0.146196228562713	0.646533278	NA	NA	NA	NA	NA	NA	No peak
Ttc29	-0.176733372642767	0.545676911	-0.010941866	0.974866644	0.000676822	7	1	TRUE	MeCP2 Down
Ttll7	-0.332485128749586	0.872432011	0.018785517	0.951572101	0.893595009	2	0	FALSE	No peak
Tulp3	-0.317378804961828	0.434428185	-0.157663548	0.423529173	0.423529173	1	0	FALSE	No peak
Txk	-0.180425878932456	0.375851556	NA	NA	NA	NA	NA	NA	No peak
Tyms	-0.443231934742699	0.597810848	NA	NA	NA	NA	NA	NA	No peak
Ube2e3	-0.291511356790393	0.798134547	0.27048205	0.253780138	1.91e-15	11	1	TRUE	MeCP2 Up
Ube2ql1	-0.30659370724754	0.3819884	-0.058732075	0.800978622	0.28904107	3	0	FALSE	No peak
Ube2w	-0.384175317782612	1.257181624	0.243926126	0.21356301	0.21356301	1	0	FALSE	No peak
Uggt2	-0.413558677791277	0.581740715	0.821226715	0.005403729	0.005403729	2	1	TRUE	MeCP2 Up
Umad1	-0.134910207085185	0.931905319	-0.033743462	0.902166802	0.260121578	2	0	FALSE	No peak
Unc13a	-0.386273274895691	0.442260609	-0.040982665	0.877144712	0.116114748	3	0	FALSE	No peak
Unc13c	-0.310916552640567	0.403193462	NA	NA	NA	NA	NA	NA	No peak
Uso1	-0.262875781048923	0.74308347	-0.04846645	0.848450142	0.848450142	1	0	FALSE	No peak
Usp24	-0.206511786274253	0.602402532	-0.047823505	0.851729019	0.851729019	1	0	FALSE	No peak
Usp35	-0.248507204867744	0.747344746	-0.112768408	0.595329499	0.595329499	2	0	FALSE	No peak
Ust	-0.141184732455384	0.260731139	-0.128149884	0.520288723	0.520288723	1	0	FALSE	No peak
Uxs1	-0.300857293064188	0.967280571	0.04709995	0.85158826	0.229825537	2	0	FALSE	No peak
Vangl2	-0.410982401288425	0.787788337	-0.089018251	0.690597454	0.690597454	2	0	FALSE	No peak
Vapb	-0.308502883557258	0.339050827	-0.086355919	0.70383339	0.218931975	6	0	FALSE	No peak
Vat1l	-0.119323768564218	0.256718926	0.684302912	0.029206929	0.029206929	2	1	TRUE	MeCP2 Up
Vps13a	-0.237664641754624	0.805960575	-0.067533736	0.769777694	0.390017784	2	0	FALSE	No peak
Vps50	-0.228567845604221	0.660760123	NA	NA	NA	NA	NA	NA	No peak
Vsnl1	-0.203438630061326	0.47820421	-0.082864493	0.707624182	0.707624182	1	0	FALSE	No peak
Wdr41	-0.306722118411446	1.232930635	NA	NA	NA	NA	NA	NA	No peak
Wdr7	-0.292773656683145	0.29463634	0.0139	0.967787876	0.967787876	1	0	FALSE	No peak
Wwp1	-0.184469894578821	0.611685084	-0.037385184	0.890982142	0.890982142	1	0	FALSE	No peak
Xkr6	-0.361507515024102	0.33552619	-0.159641576	0.451290815	0.108606361	3	0	FALSE	No peak
Xpnpep1	-0.251104159912952	0.642174306	0.023051471	0.939142002	0.000222029	2	1	TRUE	MeCP2 Up
Xpr1	-0.225075515448124	0.428706442	-0.092170329	0.664084816	0.380103739	5	0	FALSE	No peak
Xrcc4	-0.109222853970313	0.869404598	-0.031154419	0.910630448	0.910630448	1	0	FALSE	No peak
Ythdc2	-0.2904246222334	0.558702699	0.031721216	0.910855601	0.910855601	1	0	FALSE	No peak
Zbtb46	-0.275763949304832	0.788228712	-0.063403602	0.790910601	0.025109666	3	1	TRUE	MeCP2 Down
Zdhhc17	-0.333568015170567	0.832573668	NA	NA	NA	NA	NA	NA	No peak
Zeb1	-0.155033584381522	0.432967861	NA	NA	NA	NA	NA	NA	No peak
Zfp174	-0.519128817238829	0.658218812	-0.027024222	0.926046199	0.926046199	1	0	FALSE	No peak
Zfp326	-0.2868869710724	0.325279658	-0.067448161	0.774567479	1.29e-12	20	6	TRUE	MeCP2 Down
Zfp407	-0.178898260079797	0.38415966	-0.015567919	0.962397862	0.339314776	8	0	FALSE	No peak
Zfp438	-0.206959356216034	1.291919312	0.47936895	0.055113594	0.055113594	2	0	FALSE	No peak
Zfp638	-0.251726383672131	0.354700008	-0.138239802	0.543934451	0.543934451	2	0	FALSE	No peak
Zfp644	-0.260499058148751	0.459364913	-0.060453291	0.803503518	0.42572925	3	0	FALSE	No peak
Zfp697	-0.184184358258993	0.365356027	0.037003256	0.89023503	0.89023503	1	0	FALSE	No peak
Zfp704	-0.24285660813452	0.39043816	0.014049589	0.966344765	0.005015158	6	1	TRUE	MeCP2 Up
Zfp827	-0.339279082830939	0.514602902	0.733505314	0.015545117	3.79e-10	7	3	TRUE	MeCP2 Up
Zfpm2	-0.287435814543498	0.64615976	2.511925923	6.69e-15	6.69e-15	1	1	TRUE	MeCP2 Up
Zic3	-0.593743127545922	0.278003565	-0.092511964	0.691907921	0.03836823	4	1	TRUE	MeCP2 Down
Zscan29	-0.537393689048325	0.648456233	NA	NA	NA	NA	NA	NA	No peak
Zup1	-0.318590521334012	1.153880536	NA	NA	NA	NA	NA	NA	No peak
