gene_name	mch_logfc	k119ub_fold	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_has_sig	mecp2_direction
Reck	-0.193623730460989	0.308057574	0.01961061	0.950211331	0.608585105	2	0	FALSE	No peak
Reln	-0.197766767534097	0.235371601	0.031757312	0.911264601	0.911264601	1	0	FALSE	No peak
Rfx3	-0.195446351746018	0.360695699	-0.048832828	0.849752085	0.348258027	4	0	FALSE	No peak
Rfx8	-0.204479353953932	0.398294637	-0.141131255	0.470445441	0.470445441	1	0	FALSE	No peak
Rgl1	-0.266997464484693	0.516844355	-0.015610604	0.961943608	0.004703548	11	1	TRUE	MeCP2 Down
Rgma	-0.299814077120652	0.22836712	-0.407107477	0.112059146	0.112059146	11	0	FALSE	No peak
Rgs17	-0.254529204453222	0.439918174	-0.074330888	0.735432542	9.75e-05	2	1	TRUE	MeCP2 Down
Rgs20	-0.283457536562028	0.276962133	-0.039218224	0.883539067	0.883539067	1	0	FALSE	No peak
Rgs7	-0.249818056095311	0.549713651	0.068256001	0.770179481	3.09e-05	8	4	TRUE	MeCP2 Up
Rhobtb3	-0.185924182788863	0.800732432	-0.009348151	0.979554312	0.979554312	1	0	FALSE	No peak
Ric8b	-0.246924753126592	0.629831987	-0.038694628	0.885193033	0.885193033	1	0	FALSE	No peak
Rictor	-0.301323709699405	0.452222783	NA	NA	NA	NA	NA	NA	No peak
Rims1	-0.196676606294905	0.590707934	-0.144544556	0.50819136	1.76e-15	9	5	TRUE	MeCP2 Down
Rin2	-0.244667749576174	0.265652575	-0.023482348	0.937317951	0.937317951	1	0	FALSE	No peak
Ripor1	-0.688963361272127	0.431079133	NA	NA	NA	NA	NA	NA	No peak
Ripor2	-0.153469979587413	0.2460246	-0.135326451	0.512699206	0.512699206	1	0	FALSE	No peak
Rmnd5a	-0.235060655857699	0.499036737	-0.028322142	0.92086606	0.92086606	1	0	FALSE	No peak
Rnf13	-0.272536620306168	0.909363629	-0.006919552	0.985742335	0.985742335	1	0	FALSE	No peak
Rnf180	-0.153913913846649	0.589556345	NA	NA	NA	NA	NA	NA	No peak
Rnf19a	-0.420614791381416	0.552060887	1.483576863	9.19e-06	9.19e-06	2	1	TRUE	MeCP2 Up
Rnf2	-0.328369898022796	0.704595828	NA	NA	NA	NA	NA	NA	No peak
Rnf217	-0.184059172050081	0.37467109	-0.235942185	0.282470366	0.282470366	2	0	FALSE	No peak
Rngtt	-0.229092740615279	0.712753388	NA	NA	NA	NA	NA	NA	No peak
Rock1	-0.251878035865513	1.292660594	NA	NA	NA	NA	NA	NA	No peak
Rock2	-0.219965707772029	0.95811288	NA	NA	NA	NA	NA	NA	No peak
Rpia	-0.416840026707461	0.5449671	0.263469641	0.245971309	1.78e-05	3	1	TRUE	MeCP2 Up
Rpp40	-0.410952525241339	0.530824647	0.026834107	0.928323275	0.005637325	4	1	TRUE	MeCP2 Up
Rps6ka2	-0.24652780471192	0.281320355	0.000356129	0.999233316	0.087958443	9	0	FALSE	No peak
Rps6ka6	-0.159384226390448	0.622002146	NA	NA	NA	NA	NA	NA	No peak
Rps6kc1	-0.212510595003033	0.298867394	0.576890075	0.030891557	0.030891557	15	1	TRUE	MeCP2 Up
Rsbn1l	-0.193562023557497	0.52329607	-0.047206284	0.856895714	0.856895714	1	0	FALSE	No peak
Rsph14	-0.266607450619231	0.353629054	-0.013036931	0.968900713	0.699901792	2	0	FALSE	No peak
Rsu1	-0.197929964130633	0.734891403	-0.040716476	0.878096462	0.811852365	2	0	FALSE	No peak
Rtkn2	-0.20182298874617	0.268950835	NA	NA	NA	NA	NA	NA	No peak
Rundc3b	-0.258084575861182	0.804832659	-0.028153596	0.922242342	0.922242342	1	0	FALSE	No peak
