"mecp2_Fold","mecp2_FDR","h2a_Fold","h2a_FDR","overlap_frac_mecp2","overlap_frac_h2a","sig","quadrant"
-0.112944785,0.600196601,0.28063741,0.091053608,1,0.578398510242086,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.070901885,0.760664371,0.096597585,0.558035543,1,0.714722052535125,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.00734834,0.984545383,-0.222545649,0.11050699,1,0.847826086956522,"Not significant","Q3 (MeCP2 down / H2A down)"
0.094483197,0.660080321,0.118133596,0.426650813,1,0.603344768439108,"Not significant","Q1 (MeCP2 up / H2A up)"
0.087051884,0.694835443,0.525271991,0.000275468,1,0.551898734177215,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.017187273,0.957256755,-0.112842956,0.484415297,1,0.708376963350785,"Not significant","Q3 (MeCP2 down / H2A down)"
-0.015522966,0.962148691,0.102193386,0.554243339,1,0.634647418101055,"Not significant","Q2 (MeCP2 down / H2A up)"
0.041926477,0.873354,0.25106686,0.042927776,1,0.740956072351421,"Not significant","Q1 (MeCP2 up / H2A up)"
0.026119007,0.930562127,0.539642076,2.22e-05,1,0.566527584608252,"Not significant","Q1 (MeCP2 up / H2A up)"
0.067305804,0.775898442,0.203591364,0.177767243,1,0.74124513618677,"Not significant","Q1 (MeCP2 up / H2A up)"
-0.030905815,0.913818892,0.500216967,4.61e-05,1,0.665957446808511,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.062477117,0.792866519,0.214025654,0.24134251,0.983994878361076,0.839890710382514,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.021133891,0.945300221,0.844669763,3.77e-09,1,0.752222651720139,"Not significant","Q2 (MeCP2 down / H2A up)"
-0.08590121,0.693752618,-0.21500659,0.084984604,1,0.538607295120796,"Not significant","Q3 (MeCP2 down / H2A down)"
0.017019496,0.957836144,0.380202833,0.012179484,1,0.696560196560197,"Not significant","Q1 (MeCP2 up / H2A up)"
0.080715323,0.716113249,-0.095864177,0.515756095,1,0.555139409071993,"Not significant","Q4 (MeCP2 up / H2A down)"
1.559811608,1.15e-05,1.859806645,7.72e-20,1,0.82725527831094,"Significant","Q1 (MeCP2 up / H2A up)"
-0.016594192,0.960631306,0.236258989,0.116121605,1,0.578757875787579,"Not significant","Q2 (MeCP2 down / H2A up)"
0.639401604,0.020819736,1.059020315,2.94e-17,1,0.526255270218475,"Significant","Q1 (MeCP2 up / H2A up)"
