value	group1	group2	n1	n2	median1	median2	median_difference	W	p_value
mecp2_fold	Gained anchor	No anchor	717	8215	-0.02885689	-0.037256005	0.008399115	3217196	3.96567409366206e-05
mecp2_fold	Lost anchor	No anchor	477	8215	-0.026022066	-0.037256005	0.011233939	2182369	2.82403099797791e-05
mecp2_fold	Mixed anchor	No anchor	108	8215	-0.0343281565	-0.037256005	0.0029278485	472793	0.23946060112829
mecp2_fold	Gained anchor	Lost anchor	717	477	-0.02885689	-0.026022066	-0.002834824	165644	0.358386451561052
