"peak_id","mecp2_Fold","mecp2_FDR","SYMBOL"
"mecp2_peak_155",0.015113909,0.96409672,"Plekha6"
"mecp2_peak_158",-0.062477117,0.792866519,"Nckap5"
"mecp2_peak_159",0.010009659,0.977605455,"Arhgap30"
"mecp2_peak_160",0.503718122,0.055557757,"Gm973"
"mecp2_peak_160",0.503718122,0.055557757,"Sumo1"
"mecp2_peak_161",-0.375561909,0.149131054,"Rgl1"
"mecp2_peak_162",-0.053517616,0.830918469,"Prss56"
"mecp2_peak_164",-0.021133891,0.945300221,"Glrx2"
"mecp2_peak_165",0.183131221,0.491427227,"Nckap5"
"mecp2_peak_166",0.000855421,0.998158829,"Usp21"
"mecp2_peak_167",-0.08590121,0.693752618,"2010300C02Rik"
"mecp2_peak_168",0.003304361,0.993626102,"Mia3"
"mecp2_peak_171",-0.034984498,0.899413873,"Rcsd1"
"mecp2_peak_173",-0.27204018,0.267815016,"Nek7"
"mecp2_peak_176",-0.097033986,0.646135074,"Kcnh1"
"mecp2_peak_178",-0.041177447,0.877531399,"Kctd18"
"mecp2_peak_179",-0.087601797,0.696379854,"Pdcl3"
"mecp2_peak_182",-0.067408513,0.771669803,"Eloc"
"mecp2_peak_183",-0.282599106,0.229825537,"Uxs1"
"mecp2_peak_184",-0.006862873,0.986027684,"Dennd1b"
"mecp2_peak_188",-0.018851898,0.952083428,"Neurl3"
"mecp2_peak_189",-0.032605575,0.906668395,"Ipo9"
"mecp2_peak_190",0.078993405,0.728180528,"Nos1ap"
"mecp2_peak_191",0.025063942,0.93275547,"Tfcp2l1"
"mecp2_peak_194",-0.100182114,0.636067233,"Cdh7"
"mecp2_peak_195",-0.290673423,0.21419571,"Plekhm3"
"mecp2_peak_196",-0.001413953,0.996768717,"Syt2"
"mecp2_peak_197",-0.10595764,0.616695493,"Gpatch2"
"mecp2_peak_201",0.001523213,0.996685272,"Gm37988"
"mecp2_peak_201",0.001523213,0.996685272,"Tcea1"
"mecp2_peak_202",0.279184459,0.212451033,"Cdh20"
"mecp2_peak_203",0.018156737,0.953466685,"Sctr"
"mecp2_peak_204",-0.150568267,0.498100866,"Prrc2c"
"mecp2_peak_205",1.004012337,0.002055936,"Trp53bp2"
"mecp2_peak_208",-0.117842254,0.590778602,"Prelp"
"mecp2_peak_209",-0.120191028,0.585940493,"Unc80"
"mecp2_peak_210",-0.007831662,0.983475782,"Speg"
"mecp2_peak_212",-0.024219391,0.93552948,"Cacna1e"
"mecp2_peak_213",-0.960156659,0.006106692,"Ngef"
"mecp2_peak_215",-0.407276626,0.111654585,"Rcsd1"
"mecp2_peak_217",-0.061586347,0.795315361,"Agap1"
"mecp2_peak_219",-0.024092236,0.936158964,"Efcab2"
"mecp2_peak_221",0.017245513,0.957128663,"Capn2"
"mecp2_peak_222",-0.049308926,0.844348775,"Elf3"
"mecp2_peak_225",-0.035636256,0.897156219,"Tns1"
"mecp2_peak_226",-0.077292206,0.73251713,"Ankrd44"
"mecp2_peak_227",-0.117142943,0.580181803,"Ncstn"
"mecp2_peak_228",-0.051489183,0.838871521,"Nav1"
"mecp2_peak_229",-0.197901859,0.339875701,"Lrrn2"
"mecp2_peak_231",-0.007042326,0.985507139,"Lgr6"
"mecp2_peak_232",0.11931764,0.575199983,"Tnr"
"mecp2_peak_235",-0.5016058,0.05380485,"Rassf5"
"mecp2_peak_236",-0.172362258,0.447975378,"Smyd3"
"mecp2_peak_237",-0.06506593,0.783560014,"Kcne4"
"mecp2_peak_238",0.095775111,0.668793285,"Rd3"
"mecp2_peak_239",-0.011017127,0.97472709,"Col4a4"
"mecp2_peak_241",0.0848731,0.707348841,"Mob4"
