"quadrant","n_total_genes","percent_total_genes","n_sig_genes","percent_sig_genes","label","x","y"
"Q1 (MeCP2 up / H2A up)",1577,23,681,67.3,"Total: n=1577 (23%)
Sig: n=681 (67.3%)",2.96668414651112,0.184733970108466
"Q2 (MeCP2 down / H2A up)",2595,37.9,82,8.1,"Total: n=2595 (37.9%)
Sig: n=82 (8.1%)",-0.988894715503706,1.75497271603043
"Q3 (MeCP2 down / H2A down)",2254,32.9,216,21.3,"Total: n=2254 (32.9%)
Sig: n=216 (21.3%)",-0.988894715503706,-1.75497271603043
"Q4 (MeCP2 up / H2A down)",427,6.2,33,3.3,"Total: n=427 (6.2%)
Sig: n=33 (3.3%)",2.96668414651112,-1.75497271603043
