"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901890","positive regulation of cell junction assembly","30/1417","133/28928",0.225563909774436,4.60487846291806,9.45673764576683,1.59150103759806e-12,7.77086552085378e-10,6.02638239787129e-10,"Adgrb3/Adgrl2/Adgrl3/Adgrl4/Bdnf/Clstn2/Cntnap2/Efna5/Flrt3/Grid2/Hopx/Il1rapl1/Lrrn1/Lrrn3/Lrrtm3/Lrrtm4/Lrtm1/Nlgn1/Nphp1/Ntrk3/Pik3r1/Ptprd/Ptprj/Sema4d/Slitrk1/Slitrk2/Slitrk3/St8sia2/Syndig1/Thbs2",30
"GO:0007611","learning or memory","51/1417","356/28928",0.143258426966292,2.92461522602745,8.29243412165174,6.4706650226601e-12,2.89616181972561e-09,2.24600188549702e-09,"Adcy1/Adcy8/Adgrb3/Adrb1/Aff2/Asic1/B3gat1/Bdnf/Brinp1/Calb1/Clstn2/Cnr1/Cntnap2/Creb1/Csmd1/Dgki/Dnah11/Elavl4/Fgf13/Fos/Foxp2/Grin2a/Grm7/Hif1a/Hrh2/Jph3/Jph4/Kalrn/Kcnab1/Ncam1/Neurod2/Nr4a2/Nrxn3/Pak5/Pax6/Pde4d/Pja2/Plcb1/Plk2/Prkn/Ptprz1/Rag1/Rcan2/Sgk1/Slc7a11/Snap25/Sorcs3/Tac1/Tacr1/Tanc1/Tnr",51
"GO:0051962","positive regulation of nervous system development","54/1417","397/28928",0.136020151133501,2.77684610585034,8.09040021533303,1.2144180932433e-11,5.01741506062289e-09,3.89105457082084e-09,"Adgrb3/Adgrl2/Adgrl3/Adgrl4/Bcl11a/Bdnf/Bmp2/Cdh4/Cdon/Clstn2/Efna5/Epha4/Flrt3/Grid2/Hif1a/Il1rapl1/Kalrn/Lrrn1/Lrrn3/Lrrtm3/Lrrtm4/Lrtm1/Lyn/Map1b/Marcks/Nlgn1/Ntf3/Ntrk3/Oprm1/Pax6/Pik3r1/Plxna1/Plxna2/Plxnd1/Pparg/Ptprd/Ptprz1/Rassf10/Robo1/Robo2/Sema4d/Sema5a/Sgk1/Slitrk1/Slitrk2/Slitrk3/Sox11/St8sia2/Syndig1/Tenm4/Thbs2/Tiam1/Tiam2/Vegfc",54
"GO:0071805","potassium ion transmembrane transport","37/1417","212/28928",0.174528301886792,3.56298850880814,8.50033519461627,1.5990295201518e-11,6.13456253766807e-09,4.75741339191027e-09,"Akap7/Ank3/Atp1a1/Cacna1d/Crbn/Dpp10/Ghitm/Hcn1/Kcna5/Kcnab1/Kcnb2/Kcnd2/Kcnh1/Kcnh7/Kcnip3/Kcnip4/Kcnj1/Kcnj15/Kcnj3/Kcnj6/Kcnk1/Kcnk3/Kcnk9/Kcnma1/Kcnn2/Kcnq3/Kcnv1/Lrrc55/Nalcn/Nedd4l/Slc12a1/Slc1a3/Slc24a3/Slc24a5/Slc9a9/Snap25/Stk39",37
"GO:0050890","cognition","54/1417","401/28928",0.134663341645885,2.7491468928244,8.00486206200903,1.79426000741718e-11,6.42464699989177e-09,4.9823767363858e-09,"Adcy1/Adcy8/Adgrb3/Adrb1/Aff2/Asic1/B3gat1/Bdnf/Brinp1/Calb1/Chd7/Chl1/Clstn2/Cnr1/Cntnap2/Creb1/Csmd1/Dgki/Dnah11/Elavl4/Fgf13/Fos/Foxp2/Gpr158/Grin2a/Grm7/Hif1a/Hrh2/Jph3/Jph4/Kalrn/Kcnab1/Ncam1/Neurod2/Nr4a2/Nrxn3/Pak5/Pax6/Pde4d/Pja2/Plcb1/Plk2/Prkn/Ptprz1/Rag1/Rcan2/Sgk1/Slc7a11/Snap25/Sorcs3/Tac1/Tacr1/Tanc1/Tnr",54
"GO:0099560","synaptic membrane adhesion","16/1417","43/28928",0.372093023255814,7.59626462720126,9.82380077704378,7.63685152690401e-11,2.56359559693759e-08,1.98809351920784e-08,"Cadm1/Cdh6/Efna5/Epha3/Flrt3/Il1rapl1/Lrrc4c/Magi2/Mdga2/Nlgn1/Ntng1/Ptprd/Slitrk1/Slitrk2/Slitrk3/Tenm4",16
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","25/1417","111/28928",0.225225225225225,4.59796423099175,8.6194068802338,1.16749945705336e-10,3.68861151990212e-08,2.86055439725087e-08,"Cadm1/Cadm2/Cadm3/Cdh11/Cdh13/Cdh2/Cdh20/Cdh4/Cdh6/Cdh7/Cdh8/Celsr1/Clstn2/Cntn5/Cntn6/Dsc2/Dsc3/Dscaml1/Hmcn1/Nectin3/Pcdh18/Ptprm/Ptprt/Robo1/Robo2",25
"GO:0099054","presynapse assembly","17/1417","54/28928",0.314814814814815,6.42693222509736,9.05902036964036,4.11217816230287e-10,1.22702827276271e-07,9.51572455452192e-08,"Cadm1/Cntn5/Efnb2/Fzd1/Grid2/Il1rapl1/Lrp4/Lrrtm3/Mdga2/Nlgn1/Ntrk3/Ptprd/Sdcbp/Slitrk1/Slitrk2/Slitrk3/Snca",17
"GO:0007612","learning","34/1417","206/28928",0.16504854368932,3.36945961315784,7.74567046759288,4.93365674556291e-10,1.33845184572605e-07,1.03798252869465e-07,"Adgrb3/Asic1/B3gat1/Bdnf/Clstn2/Cntnap2/Creb1/Csmd1/Dgki/Elavl4/Fgf13/Fos/Foxp2/Grin2a/Grm7/Hif1a/Hrh2/Jph3/Jph4/Kalrn/Neurod2/Nrxn3/Pak5/Plcb1/Prkn/Rag1/Sgk1/Slc7a11/Snap25/Sorcs3/Tac1/Tacr1/Tanc1/Tnr",34
"GO:0006813","potassium ion transport","38/1417","249/28928",0.152610441767068,3.11553624519249,7.60889474495205,4.98399495708827e-10,1.33845184572605e-07,1.03798252869465e-07,"Akap7/Ank3/Atp1a1/Cacna1d/Crbn/Dpp10/Ghitm/Hcn1/Kcna5/Kcnab1/Kcnb2/Kcnd2/Kcnh1/Kcnh7/Kcnip3/Kcnip4/Kcnj1/Kcnj15/Kcnj3/Kcnj6/Kcnk1/Kcnk3/Kcnk9/Kcnma1/Kcnn2/Kcnq3/Kcnv1/Lrrc55/Nalcn/Nedd4l/Plcb4/Slc12a1/Slc1a3/Slc24a3/Slc24a5/Slc9a9/Snap25/Stk39",38
