## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /dev/null --MINIMUM_PCT 0.0 --INCLUDE_DUPLICATES true --INPUT 260629_Emseq_LV_index_D2_Bap1_Math1_adult_mut_F2_S8.good_mapq --OUTPUT 260629_Emseq_LV_index_D2_Bap1_Math1_adult_mut_F2_S8.good_mapq.insert_size_metrics.txt --VALIDATION_STRINGENCY SILENT --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jul 29 23:13:18 PDT 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
207	179	46	2	180711572	221.784536	75.791193	579580850	FR	19	37	55	73	93	115	141	175	245	329	487			
20018563	16085	20002522	2	180418045	32520706.823608	36779972.868333	6735	RF	11878483	24008303	33877547	39810035	40005045	40032799	51270289	88175121	136245223	171416499	243860385			
38972813	46000	27258724.5	46000	131422292	42942560.536364	33300776.030823	110	TANDEM	10086631	24741781	33055507	45590737	53999731	61818317	70379269	76875021	103811145	114859385	166128089			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.rf_count	All_Reads.tandem_count
224	2894624	0	0
225	2869355	1	0
226	2841209	0	0
227	2817268	0	0
228	2792967	1	0
229	2769720	0	0
230	2742546	0	0
231	2719282	0	0
232	2697982	0	0
233	2670471	1	0
234	2645726	1	0
235	2616146	0	0
236	2580581	0	0
237	2558175	1	0
238	2532706	3	0
239	2510285	1	0
240	2487946	0	0
241	2461780	1	0
242	2434967	0	0
243	2411878	1	0
244	2386143	0	0
245	2361779	0	0
246	2337849	0	0
247	2312457	0	0
248	2295519	1	0
249	2268932	0	0
250	2248461	1	0
251	2223116	0	0
252	2194157	0	0
253	2165862	1	0
254	2146478	0	0
255	2122514	1	0
256	2098236	0	0
257	2078105	1	0
258	2053744	0	0
259	2028005	1	0
260	2005263	0	0
261	1985959	0	0
262	1964526	0	0
263	1940275	2	0
264	1920651	0	0
265	1896934	0	0
266	1875834	0	0
267	1849344	0	0
268	1833160	1	0
269	1813110	0	0
270	1789294	2	0
271	1766688	0	0
272	1724160	0	0
273	1700885	0	0
274	1676560	0	0
275	1659466	0	0
276	1642468	0	0
277	1620906	0	0
278	1603782	0	0
279	1584532	0	0
280	1565134	0	0
281	1549771	0	0
282	1529055	0	0
283	1512209	1	0
284	1496404	6	0
285	1479849	3	0
286	1461134	0	0
287	1442246	0	0
288	1424898	0	0
289	1412027	1	0
290	1390997	0	0
291	1376584	0	0
292	1360142	2	0
293	1345525	1	0
294	1328477	0	0
295	1313135	0	0
296	1296031	0	0
297	1282889	0	0
298	1266223	0	0
299	1251887	1	0
300	1234809	0	0
301	1222176	0	0
302	1206663	0	0
303	1189550	0	0
304	1175763	1	0
305	1164061	0	0
306	1147580	0	0
307	1133802	1	0
308	1120520	0	0
309	1107563	0	0
310	1090812	0	0
311	1076594	1	0
312	1066651	0	0
313	1053239	1	0
314	1036670	0	0
315	1027279	1	0
316	1015816	3	0
317	1004546	0	0
318	990214	0	0
319	974696	0	0
320	963116	0	0
321	951586	0	0
322	942135	0	0
323	930504	4	0
324	919725	1	0
325	907486	0	0
326	897922	0	0
327	886559	0	0
328	872843	1	0
329	862671	0	0
330	850545	5	0
331	837726	0	0
332	827976	0	0
333	818859	2	0
334	810620	0	0
335	799679	3	0
336	786721	0	0
337	777582	0	0
338	768603	0	0
339	760233	0	0
340	748619	0	0
341	742063	0	0
342	729616	0	0
343	720385	1	0
344	710517	0	0
345	704616	0	0
346	694007	0	0
347	684104	0	0
348	674128	0	0
349	665309	1	0
350	658420	1	0
351	649724	2	0
352	638977	0	0
353	630125	0	0
354	624418	0	0
355	616647	2	0
356	606220	0	0
357	599621	1	0
358	592868	0	0
359	581263	0	0
360	574406	0	0
361	568610	0	0
362	560958	0	0
363	555266	0	0
364	548890	0	0
365	535942	1	0
366	529953	0	0
367	523468	0	0
368	514564	0	0
369	509036	0	0
370	502801	1	0
371	496847	0	0
372	487225	2	0
373	481179	1	0
374	476221	1	0
375	468400	0	0
376	461600	2	0
377	454758	1	0
378	450314	0	0
379	441977	0	0
380	437536	0	0
381	430759	0	0
382	423447	0	0
383	418724	0	0
384	411498	0	0
385	403153	0	0
386	399041	0	0
387	394538	0	0
388	386980	1	0
389	383274	0	0
390	377580	0	0
391	371762	0	0
392	365697	0	0
393	360095	0	0
394	353706	2	0
395	347013	0	0
396	344485	0	0
397	338168	0	0
398	331207	0	0
399	328398	0	0
400	323137	0	0
401	318112	1	0
402	311334	0	0
403	309549	0	0
404	303530	2	0
405	297902	0	0
406	295389	2	0
407	288515	1	0
408	284182	1	0
409	282163	0	0
410	274997	0	0
411	271423	2	0
412	265014	0	0
413	262442	0	0
414	259163	0	0
415	252953	1	0
416	248962	0	0
417	245214	0	0
418	239726	1	0
419	235319	0	0
420	232548	0	0
421	230425	0	0
422	225090	1	0
423	220355	1	0
424	218846	0	0
425	213552	0	0
426	206611	0	0
427	205504	0	0
428	202080	0	0
429	198253	0	0
430	194044	1	0
431	192369	0	0
432	187104	0	0
433	186744	0	0
434	181221	2	0
435	179342	0	0
436	175915	2	0
437	172486	0	0
438	170103	0	0
439	165549	0	0
440	164044	0	0
441	159772	0	0
442	155830	0	0
443	154896	0	0
444	151428	0	0
445	148080	0	0
446	145037	4	0
447	142877	0	0
448	139548	0	0
449	137674	0	0
450	134280	0	0
451	134044	0	0
452	129243	1	0
453	126884	0	0
454	124440	0	0
455	122032	0	0
456	119804	0	0
457	116994	0	0
458	114976	0	0
459	112073	0	0
460	110493	0	0
461	107801	0	0
462	105269	0	0
463	103042	0	0
464	101297	0	0
465	99648	0	0
466	95987	0	0
467	95339	0	0
468	92446	0	0
469	90885	0	0
470	89565	0	0
471	88153	0	0
472	85757	0	0
473	82443	0	0
474	82390	0	0
475	81585	0	0
476	79230	0	0
477	79200	0	0
478	77728	0	0
479	74544	0	0
480	72080	0	0
481	71000	0	0
482	69893	0	0
483	68522	0	0
484	66570	1	0
485	65495	1	0
486	63751	0	0
487	60854	0	0
488	59868	0	0
489	58182	0	0
490	57332	0	0
491	54937	0	0
492	54017	0	0
493	53028	0	0
494	51189	0	0
495	50169	0	0
496	49075	0	0
497	47402	0	0
498	47313	0	0
499	45478	0	0
500	44509	0	0
501	44070	0	0
502	42725	0	0
503	41377	0	0
504	40669	0	0
505	40069	0	0
506	38547	0	0
507	36909	0	0
508	37145	0	0
509	36205	1	0
510	34744	4	0
511	34138	0	0
512	33109	0	0
513	31966	0	0
514	32037	0	0
515	30583	0	0
516	30212	0	0
517	29435	0	0
518	28686	0	0
519	28534	0	0
520	26964	0	0
521	26349	0	0
522	25458	0	0
523	23718	0	0
524	22617	0	0
525	21810	0	0
526	21783	0	0
527	21092	0	0
528	20528	0	0
529	19975	0	0
530	19193	0	0
531	18449	0	0
532	17793	0	0
533	17441	0	0
534	17337	0	0
535	17342	0	0
536	16279	0	0
537	15911	0	0
538	15896	0	0
539	14704	1	0
540	14988	1	0
541	14123	1	0
542	13452	0	0
543	13211	0	0
544	12856	0	0
545	12524	0	0
546	12288	0	0
547	11566	0	0
548	11123	0	0
549	11127	0	0
550	10337	0	0
551	10196	0	0
552	9680	0	0
553	9692	0	0
554	9149	0	0
555	8961	0	0
556	8951	0	0
557	8501	0	0
558	8509	0	0
559	8157	0	0
560	8098	3	0
561	7311	2	0
562	7068	0	0
563	6772	0	0
564	6596	0	0
565	6419	0	0
566	6573	0	0
567	6071	0	0
568	5771	0	0
569	5739	0	0
570	5418	0	0
571	5310	1	0
572	5318	0	0
573	4925	0	0
574	4730	0	0
575	4614	0	0
576	4606	0	0
577	4006	0	0
578	4117	0	0
579	3953	0	0
580	3700	0	0
581	3809	0	0
582	3536	1	0
583	3430	0	0
584	3345	0	0
585	3567	0	0
586	3436	1	0
587	2960	1	0
588	3011	0	0
589	2877	0	0
590	2659	1	0
591	2720	1	0
592	2534	0	0
593	2783	0	0
594	2596	0	0
595	2308	0	0
596	2197	0	0
597	2303	0	0
598	2058	1	0
599	2050	1	0
600	1903	0	0
601	2012	0	0
602	1876	0	0
603	1842	0	0
604	1634	0	0
605	1721	0	0
606	1575	0	0
607	1650	0	0
608	1555	0	0
609	1475	0	0
610	1428	0	0
611	1432	0	0
612	1403	0	0
613	1363	0	0
614	1290	0	0
615	1167	1	0
616	1155	0	0
617	1125	0	0
618	1080	1	0
619	1059	0	0
620	946	0	0
621	974	0	0
622	1034	0	0
623	1063	0	0
624	967	1	0
625	880	0	0
626	882	0	0
627	802	0	0
628	838	0	0
629	701	0	0
630	736	0	0
631	758	0	0
632	757	0	0
633	755	0	0
634	687	0	0
635	686	0	0
636	623	1	0
637	599	0	0
638	556	0	0
639	585	0	0
640	527	0	0
641	530	1	0
642	477	1	0
643	482	0	0
644	436	0	0
645	538	0	0
646	476	0	0
647	477	0	0
648	453	0	0
649	489	0	0
650	415	0	0
651	448	0	0
652	361	0	0
653	362	0	0
654	347	0	0
655	348	0	0
656	347	0	0
657	275	0	0
658	309	0	0
659	302	0	0
660	274	0	0
661	325	0	0
662	319	0	0
663	279	0	0
664	214	0	0
665	226	0	0
666	328	1	0
667	239	0	0
671	0	2	0
679	0	1	0
716	0	1	0
722	0	3	0
738	0	2	0
740	0	1	0
741	0	2	0
746	0	1	0
753	0	1	0
755	0	1	0
766	0	1	0
819	0	1	0
821	0	1	0
890	0	3	0
892	0	1	0
929	0	1	0
938	0	1	0
957	0	1	0
959	0	2	0
962	0	2	0
966	0	3	0
990	0	2	0
1029	0	1	0
1032	0	1	0
1036	0	1	0
1037	0	1	0
1046	0	2	0
1068	0	1	0
1072	0	1	0
1073	0	1	0
1101	0	2	0
1111	0	2	0
1120	0	1	0
1122	0	2	0
1140	0	1	0
1142	0	5	0
1144	0	3	0
1154	0	1	0
1163	0	1	0
1164	0	1	0
1169	0	1	0
1170	0	2	0
1179	0	1	0
1180	0	1	0
1183	0	3	0
1193	0	2	0
1199	0	1	0
1201	0	1	0
1203	0	1	0
1206	0	1	0
1218	0	2	0
1228	0	2	0
1236	0	3	0
1238	0	1	0
1250	0	1	0
1252	0	2	0
1256	0	1	0
1261	0	2	0
1263	0	1	0
1266	0	1	0
1280	0	1	0
1281	0	1	0
1287	0	1	0
1290	0	1	0
1293	0	2	0
1308	0	1	0
1317	0	2	0
1322	0	1	0
1340	0	1	0
1345	0	1	0
1357	0	1	0
1380	0	1	0
1382	0	2	0
1384	0	3	0
1396	0	1	0
1419	0	1	0
1457	0	1	0
1532	0	2	0
1557	0	1	0
1715	0	2	0
1817	0	1	0
1892	0	1	0
1894	0	1	0
2128	0	4	0
2135	0	1	0
2163	0	3	0
2164	0	3	0
2165	0	1	0
2172	0	1	0
2174	0	1	0
2180	0	1	0
2187	0	4	0
2189	0	1	0
2205	0	3	0
2209	0	1	0
2218	0	1	0
2228	0	6	0
2231	0	1	0
2247	0	1	0
2250	0	2	0
2254	0	2	0
2270	0	1	0
2273	0	3	0
2281	0	1	0
2292	0	1	0
2302	0	2	0
2317	0	2	0
2328	0	1	0
2336	0	3	0
2339	0	1	0
2360	0	1	0
2365	0	2	0
2368	0	2	0
2376	0	1	0
2377	0	1	0
2379	0	1	0
2381	0	1	0
2391	0	3	0
2395	0	1	0
2410	0	1	0
2416	0	4	0
2429	0	1	0
2453	0	1	0
2455	0	1	0
2479	0	1	0
2480	0	1	0
2489	0	2	0
2512	0	1	0
2519	0	2	0
2533	0	1	0
2589	0	1	0
2813	0	1	0
2851	0	1	0
2857	0	2	0
2863	0	1	0
2927	0	2	0
3127	0	1	0
3156	0	1	0
3203	0	1	0
3230	0	1	0
3233	0	1	0
3235	0	1	0
3332	0	2	0
3565	0	1	0
3602	0	1	0
3682	0	1	0
3697	0	2	0
3708	0	1	0
4139	0	1	0
4324	0	9	0
4332	0	3	0
4362	0	1	0
4458	0	1	0
4474	0	1	0
4616	0	1	0
5366	0	2	0
5882	0	2	0
5966	0	1	0
6254	0	2	0
6353	0	1	0
6474	0	2	0
6491	0	1	0
6534	0	3	0
6640	0	1	0
7183	0	1	0
7301	0	3	0
7435	0	1	0
7440	0	1	0
7649	0	1	0
7656	0	1	0
7750	0	4	0
7828	0	1	0
7857	0	1	0
7879	0	1	0
7883	0	1	0
7948	0	3	0
8137	0	1	0
8157	0	2	0
8160	0	1	0
8190	0	1	0
8207	0	1	0
8349	0	1	0
8971	0	1	0
10011	0	5	0
10585	0	2	0
10641	0	1	0
10650	0	1	0
10751	0	3	0
11311	0	1	0
11330	0	1	0
12043	0	4	0
12049	0	1	0
12492	0	1	0
13230	0	2	0
14163	0	1	0
14228	0	1	0
14243	0	1	0
14908	0	1	0
14990	0	1	0
15518	0	3	0
15770	0	7	0
15775	0	5	0
15786	0	2	0
15798	0	3	0
15799	0	4	0
15812	0	4	0
15820	0	1	0
15821	0	2	0
15824	0	5	0
15836	0	1	0
15837	0	5	0
15840	0	4	0
15845	0	7	0
15853	0	4	0
15858	0	4	0
15863	0	4	0
15866	0	1	0
15868	0	3	0
15870	0	2	0
15875	0	1	0
15879	0	1	0
15880	0	2	0
15881	0	5	0
15886	0	6	0
15889	0	4	0
15890	0	3	0
15891	0	1	0
15893	0	4	0
15894	0	2	0
15896	0	3	0
15897	0	4	0
15903	0	1	0
15907	0	7	0
15908	0	2	0
15909	0	1	0
15910	0	5	0
15911	0	2	0
15913	0	2	0
15914	0	3	0
15918	0	2	0
15919	0	1	0
15920	0	1	0
15921	0	4	0
15922	0	1	0
15927	0	3	0
15930	0	1	0
15931	0	2	0
15933	0	7	0
15936	0	1	0
15937	0	8	0
15938	0	9	0
15939	0	3	0
15942	0	2	0
15943	0	3	0
15944	0	5	0
15945	0	8	0
15946	0	1	0
15948	0	3	0
15950	0	2	0
15951	0	1	0
15953	0	2	0
15956	0	2	0
15957	0	3	0
15959	0	9	0
15960	0	3	0
15961	0	7	0
15962	0	1	0
15963	0	1	0
15965	0	1	0
15966	0	6	0
15967	0	4	0
15968	0	1	0
15969	0	2	0
15970	0	2	0
15971	0	5	0
15972	0	2	0
15973	0	3	0
15975	0	1	0
15976	0	1	0
15977	0	1	0
15978	0	6	0
15979	0	2	0
15980	0	2	0
15981	0	4	0
15982	0	2	0
15985	0	5	0
15986	0	4	0
15988	0	2	0
15989	0	1	0
15990	0	6	0
15991	0	7	0
15993	0	8	0
15994	0	3	0
15995	0	3	0
15996	0	3	0
15997	0	6	0
15998	0	2	0
16000	0	3	0
16001	0	3	0
16002	0	2	0
16003	0	7	0
16004	0	4	0
16005	0	3	0
16006	0	1	0
16007	0	1	0
16008	0	3	0
16009	0	2	0
16011	0	8	0
16012	0	1	0
16013	0	3	0
16014	0	6	0
16015	0	2	0
16016	0	6	0
16017	0	8	0
16018	0	2	0
16019	0	2	0
16020	0	8	0
16021	0	1	0
16022	0	7	0
16023	0	3	0
16024	0	4	0
16025	0	8	0
16026	0	9	0
16027	0	1	0
16028	0	5	0
16029	0	5	0
16030	0	2	0
16032	0	2	0
16033	0	6	0
16034	0	12	0
16035	0	4	0
16036	0	4	0
