ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	ranking	is_significant	is_neuronal	n_genes_ranked
GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	49	0.863115522370956	1.35262188652298	0.00185443063153552	0.513060504632171	0.509555791090797	1721	tags=35%, list=8%, signal=32%	94332/545370/331461/12558/230868/54725/19266/18189/14804/23965/241324/12511/329628/11658/58998/23966/192167	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0010038	response to metal ion	306	0.745942168621959	1.2019736131583	0.00190542407897014	0.513060504632171	0.509555791090797	2004	tags=13%, list=9%, signal=12%	69048/14281/11735/12912/268566/11514/19055/67547/18783/239436/110058/20617/23859/14811/18189/18575/65973/110862/53416/84112/16531/15165/20983/17260/16510/20979/20191/18013/15376/22138/56379/20496/108079/17967/18484/56461/192167/50799/18024/237213/54524	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0002092	positive regulation of receptor internalization	34	0.879327358325814	1.33328272885554	0.0023406057769269	0.598726957737901	0.594637057117166	1627	tags=24%, list=8%, signal=22%	50791/52906/14265/11600/18205/30878/20620/93742	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:1904748	regulation of apoptotic process involved in development	16	-0.893339200777368	-1.61944028051472	0.00263297180901007	0.613008365330382	0.60882090849137	540	tags=19%, list=3%, signal=18%	21937/21808/21814	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:1902337	regulation of apoptotic process involved in morphogenesis	15	-0.897875229337838	-1.59980456392403	0.0035790476060483	0.613008365330382	0.60882090849137	540	tags=20%, list=3%, signal=20%	21937/21808/21814	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0015846	polyamine transport	15	-0.891585265258502	-1.58859731272448	0.00428774866214521	0.613008365330382	0.60882090849137	812	tags=27%, list=4%, signal=26%	18245/20517/20518/18987	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0060347	heart trabecula formation	15	-0.891438942310441	-1.58833659930633	0.00428774866214521	0.613008365330382	0.60882090849137	375	tags=20%, list=2%, signal=20%	12154/107586/21814	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0046471	phosphatidylglycerol metabolic process	28	0.890126041994193	1.33528361857274	0.00348392413265581	0.613008365330382	0.60882090849137	973	tags=14%, list=5%, signal=14%	665270/18783/68971/14732	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:0043116	negative regulation of vascular permeability	20	0.919034409561896	1.33526632879973	0.00352175209601539	0.613008365330382	0.60882090849137	829	tags=20%, list=4%, signal=19%	11600/14815/54611/20404	MeCP2 fold (median significant)	FALSE	FALSE	21098
GO:2000819	regulation of nucleotide-excision repair	28	0.88786366360151	1.33188981065763	0.00420181561242674	0.613008365330382	0.60882090849137	1296	tags=18%, list=6%, signal=17%	71991/70127/239985/29861/67155	MeCP2 fold (median significant)	FALSE	FALSE	21098
