peakset	property	n_gained	n_lost	median_gained	median_lost	median_difference	mean_gained	mean_lost	W	p_value
Annotated peakset	Fold	7686	1200	1.51044640246255	-0.984791997013259	2.4952383994758	1.66529810518702	-1.0688684381733	9223200	0
DiffBind Conc4 peakset	Fold	5675	1107	1.337425098	-0.811557376	2.148982474	1.47840530254855	-0.892614960728997	6282225	0
Annotated peakset	width	7686	1200	401	401	0	401.111891751236	401.605	4605711	0.0828065280899819
DiffBind Conc4 peakset	width	5675	1107	1493	1479	14	1642.49268722467	1587.52484191509	3285440	0.0154361805648131
Annotated peakset	Conc	7686	1200	3.62021307907045	3.72540448262974	-0.105191403559285	3.73695409878193	3.82046919637556	4413583	0.0165783871955367
DiffBind Conc4 peakset	Conc	5675	1107	4.992440664	5.135941178	-0.143500514	5.18310385829815	5.31155140801716	2877761	9.9000326442284e-06
Annotated peakset	signal_mass	7686	1200	4931.702300373	5327.58095389964	-395.878653526637	6695.95084415532	7459.46459929654	4408206	0.0138555452060189
DiffBind Conc4 peakset	signal_mass	5675	1107	47116.0395011267	51982.3391326144	-4866.29963148769	91393.0277935442	99071.0858348588	3067959	0.21959903817013
