group	decile	n_genes	decile_min	decile_max	n_universe	n_group	pct_of_group	metric	metric_display	group_label
MeCP2_only	4	5	0.674812	0.813722	1203	59	8.47457627118644	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 changes (no mCH change)
MeCP2_only	5	4	0.813768	0.971235	1203	59	6.77966101694915	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 changes (no mCH change)
MeCP2_only	6	5	0.971375	1.16357	1203	59	8.47457627118644	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 changes (no mCH change)
MeCP2_only	7	7	1.163726	1.446732	1203	59	11.864406779661	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 changes (no mCH change)
MeCP2_only	8	4	1.446792	1.865172	1203	59	6.77966101694915	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 changes (no mCH change)
MeCP2_only	9	14	1.865314	2.658507	1203	59	23.728813559322	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 changes (no mCH change)
MeCP2_only	10	11	2.658894	20.700337	1203	59	18.6440677966102	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 changes (no mCH change)
MeCP2_and_mCH	1	0	0.04237	0.400844	1204	96	0	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 and mCH (both change)
MeCP2_and_mCH	2	2	0.401008	0.545657	1203	96	2.08333333333333	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 and mCH (both change)
MeCP2_and_mCH	3	1	0.54571	0.674661	1203	96	1.04166666666667	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 and mCH (both change)
MeCP2_and_mCH	4	6	0.674812	0.813722	1203	96	6.25	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 and mCH (both change)
MeCP2_and_mCH	5	8	0.813768	0.971235	1203	96	8.33333333333333	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 and mCH (both change)
MeCP2_and_mCH	6	13	0.971375	1.16357	1203	96	13.5416666666667	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 and mCH (both change)
MeCP2_and_mCH	7	11	1.163726	1.446732	1203	96	11.4583333333333	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 and mCH (both change)
MeCP2_and_mCH	8	13	1.446792	1.865172	1203	96	13.5416666666667	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 and mCH (both change)
MeCP2_and_mCH	9	18	1.865314	2.658507	1203	96	18.75	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 and mCH (both change)
MeCP2_and_mCH	10	24	2.658894	20.700337	1203	96	25	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	MeCP2 and mCH (both change)
Neither	1	1204	0.04237	0.400844	1204	11876	10.1380936342203	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	Neither changes
Neither	2	1195	0.401008	0.545657	1203	11876	10.0623105422701	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	Neither changes
Neither	3	1199	0.54571	0.674661	1203	11876	10.0959919164702	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	Neither changes
Neither	4	1192	0.674812	0.813722	1203	11876	10.0370495116201	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	Neither changes
Neither	5	1191	0.813768	0.971235	1203	11876	10.0286291680701	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	Neither changes
Neither	6	1185	0.971375	1.16357	1203	11876	9.97810710676996	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	Neither changes
Neither	7	1185	1.163726	1.446732	1203	11876	9.97810710676996	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	Neither changes
Neither	8	1186	1.446792	1.865172	1203	11876	9.98652745031997	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	Neither changes
Neither	9	1171	1.865314	2.658507	1203	11876	9.86022229706972	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	Neither changes
Neither	10	1168	2.658894	20.700337	1203	11876	9.83496126641967	k119ub_gb_ctrl_signal	H2AK119ub (control gene-body signal)	Neither changes
