peakset	scheme	Gained	Lost	gained_over_lost	gained_share_pct
Annotated peakset	peak_count	7686	1200	6.405	86.4956110735989
Annotated peakset	total_width_bp	3082946	481926	6.39713565983159	86.481253744875
Annotated peakset	sum_linear_concentration	128319.415951649	22309.1530117053	5.75187304889261	85.1892949888326
Annotated peakset	sum_signal_mass	51465078.1881778	8951357.51915585	5.7494160051191	85.1839033296874
DiffBind Conc4 peakset	peak_count	5675	1107	5.12646793134598	83.6773813034503
DiffBind Conc4 peakset	total_width_bp	9321146	1757390	5.30397123006276	84.1369834425776
DiffBind Conc4 peakset	sum_linear_concentration	257177.295312862	55799.807698969	4.60892798592233	82.1712811697731
DiffBind Conc4 peakset	sum_signal_mass	518655432.728363	109671692.019189	4.72916413688244	82.5454468381812
