gene_name	ctrl_aging_up	mut_aging_up	ctrl_aging_sig	mut_aging_sig	mut_specific_aging_up	shared_aging_up	ctrl_specific_aging_up
1700007L15Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700007P06Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700008C04Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700008K24Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700008O03Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700008P02Rik	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700009C05Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700009J07Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700009N14Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700010B08Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700010D01Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700010I02Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700010I14Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700010J16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700010K23Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700010N08Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700011B04Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700011C11Rik	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700011L22Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700012A03Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700012B07Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700012B09Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700012C14Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700012D16Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700012I11Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700013G24Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700013H16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700016G22Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700016H13Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700016K05Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700016L21Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700016P04Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700017B05Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700017G19Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700017J07Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700017L05Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700017N19Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700018A04Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700018B08Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700018F24Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700019A02Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700019C18Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700019D03Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700019E08Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700019G24Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700019M22Rik	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700019P21Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700020G17Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700020L24Rik	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
1700020M21Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700020N01Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700020N15Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700020N18Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700021F02Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700021N21Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700022A21Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700022A22Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700022E09Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700022H01Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700022H16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700022I11Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700023C21Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700023F02Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700024B18Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700024G13Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700024I08Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700025B11Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700025C18Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700025F24Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700025G04Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700025K24Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700025M24Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700025N23Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700026D11Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700026F02Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700026J14Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700027F06Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700027F09Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700027H10Rik	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700027J07Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700028B04Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700028D13Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700028E10Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700028I16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700028J19Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700028K03Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700028M03Rik	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700028P15Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700029B22Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700029F12Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700029H14Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700029J03Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700029M20Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700029N11Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700030A11Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700030C10Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700030C14Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700030F04Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700030J22Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700030K09Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700030L20Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700030M09Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700030N03Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700030O20Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700031A10Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700031F05Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700031L13Rik	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700031M16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700031P21Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700034E13Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700034G24Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700034H15Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700034J05Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700034K08Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700034P13Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700036G14Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700037C18Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700039E22Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700039M10Rik	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
1700040D17Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700041C23Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700041M19Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700042G15Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700042O10Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700044C05Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700044K03Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700046C09Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700047A11Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700047E10Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700047G03Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700047L14Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700048M11Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700048O20Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700049E15Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700049E22Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700049L16Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700051A21Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700052I22Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700052K11Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700054A03Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700054K19Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700054M17Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700055C04Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700056E22Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700057H15Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700057H21Rik	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700060C16Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700060C20Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700061F12Rik	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700061I17Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700061J23Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700061N14Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700063A18Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700063D05Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700063H04Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700063O14Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700064J06Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700064M15Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700065D16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700065I16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700065J11Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700065J18Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700065L07Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700065O20Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700066B17Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700066C05Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700066M21Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700066O22Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700067G17Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700067K01Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700067P10Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700069L16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700069P05Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700071K01Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700071M16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700072B07Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700072O05Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700073E17Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700074H08Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700080N15Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700081H04Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700083H02Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700084D21Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700084F23Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700084J12Rik	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
1700084M14Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700085C21Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700086L19Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700086O06Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700088E04Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700092C02Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700092C10Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700092E19Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700092K14Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700093K21Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700094J05Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700094M24Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700095B10Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700095J03Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700095J12Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700096J18Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700096K18Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700099I09Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700100I10Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700100L14Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700101O22Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700102H20Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700102P08Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700104L18Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700108F19Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700108J01Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700109G14Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700109G15Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700109H08Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700109I08Rik	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
1700109K24Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700110C19Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700110I07Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700110K17Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700111N16Rik	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700112H15Rik	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
1700112J16Rik	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
1700113A16Rik	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
