"SYMBOL","mecp2_Fold","mecp2_minFDR","mecp2_sig_peaks","n_mecp2_peaks","mecp2_sig","h2a_Fold","h2a_minFDR","h2a_sig_peaks","n_h2a_peaks","h2a_sig","sig","quadrant"
"1700060C20Rik",-0.00793291682470597,0.428976926,0,3,FALSE,-0.182111266,0.272611897,0,1,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700063D05Rik",0.580554717488845,0.012392915,1,2,TRUE,0.101963007,0.545759243,0,1,FALSE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700064M15Rik",0.678633203687057,0.013131104,1,3,TRUE,0.177305140192435,0.176507578,0,2,FALSE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700066O22Rik",0.69934587,0.020767242,1,1,TRUE,0.719759662910322,5.37e-09,3,3,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1700071K01Rik",-0.0144792713472469,0.573701643,0,6,FALSE,0.0821366738711655,0.029545249,1,5,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)"
"1700072O05Rik",0.032531268,0.906346352,0,1,FALSE,-0.127468726,0.305541205,0,1,FALSE,"Not significant","Q4 (MeCP2 up / H2A down)"
"1700083H02Rik",2.05288858741355,1.6e-16,3,6,TRUE,0.982401470237957,9.5e-23,6,8,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1700085C21Rik",-0.0937044775770841,0.593744196,0,4,FALSE,-0.142149492941243,0.036929519,1,6,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700086L19Rik",0.085325507,0.687131637,0,1,FALSE,0.237680186289149,0.033411775,1,2,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"1700092K14Rik",-0.109004324553445,0.512328783,0,4,FALSE,-0.426019960418978,3.18e-05,4,4,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700095B10Rik",-0.0445631266975793,0.559086686,0,2,FALSE,-0.235928382,0.114180936,0,1,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700108J01Rik",2.4013978900154,1.3e-19,3,7,TRUE,1.15853260574972,2.4e-26,2,2,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1700112J16Rik",-0.00278896,0.994362615,0,1,FALSE,-0.221743751886316,0.043466674,1,3,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700120E14Rik",-0.009702678,0.978304717,0,1,FALSE,-0.413017388,0.036001837,1,1,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700120G07Rik",0.39841777637397,0.014635108,1,21,TRUE,-0.201638558240885,0.020537421,1,10,TRUE,"Significant","Q4 (MeCP2 up / H2A down)"
"1700121N20Rik",-0.162484292976838,0.315001305,0,3,FALSE,-0.567694748,5.22e-06,1,1,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"1700123O21Rik",2.44534855565542,6.77e-22,2,9,TRUE,1.070237571,1.64e-18,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1700129C05Rik",1.78323801578182,6.12e-10,1,3,TRUE,1.0960059989892,2.64e-46,3,3,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
"1810034E14Rik",-0.0841567639168813,0.659963161,0,3,FALSE,0.048476795,0.778104575,0,1,FALSE,"Not significant","Q2 (MeCP2 down / H2A up)"
"2010001A14Rik",-0.0525934775475927,0.782536653,0,4,FALSE,-0.345565954058847,0.000345422,1,3,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"2010009K17Rik",-0.079685815,0.718120966,0,1,FALSE,-0.121308469,0.436352777,0,1,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)"
"2010106C02Rik",-0.129436207756749,0.330996796,0,12,FALSE,-0.0315476087867471,1.63e-06,5,12,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"2210016L21Rik",-0.143212646,0.499293914,0,1,FALSE,-0.31470476,0.049844681,1,1,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)"
"2210408F21Rik",0.0960683870832942,0.568614486,0,3,FALSE,0.448067923667703,0.000552024,2,2,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)"
"2210409D07Rik",1.51574281418914,1.21e-08,4,7,TRUE,1.13537836478415,6.49e-49,8,8,TRUE,"Significant","Q1 (MeCP2 up / H2A up)"
